seed,fu_ran,fu_train_di,fu_targets_corrected,model_replaced,refit_from_fresh_initialisation,refit_iterations,returned_predictions_computed_before_refit,returned_equals_pre_update_exact,returned_equals_R2_class_with_FU,R2_class_model_replaced,n_test,n_cases_post_update_differs,max_abs_diff_post_vs_returned,returned_R2,returned_DI,returned_EOD,returned_AOD,HYPOTHETICAL_post_update_R2,HYPOTHETICAL_post_update_DI,HYPOTHETICAL_post_update_EOD,HYPOTHETICAL_post_update_AOD
42,True,0.6357167979262052,True,True,True,20,True,True,True,True,1500,1500,1.2473007678609154,0.7074845905950171,0.8652065527065528,0.010173832378801317,0.010525735719155258,0.7115273220392874,0.7500436071864642,0.04616036137775259,0.055684528887602114
43,True,0.6294505783932519,True,True,True,20,True,True,True,True,1500,1500,1.8138182124765905,0.7214118420879734,0.8578182625390902,0.04157890777794504,0.034399797123347634,0.7252996283359263,0.7290540413090635,0.042669625394915034,0.04058741847519702
44,True,0.6590564920068641,True,True,True,20,True,True,True,True,1500,1500,1.8635773904732993,0.704185528480182,0.8481810068770014,0.038007087611256374,0.001466974656692016,0.7090550530130881,0.71619058841725,0.11628055279723781,0.08142817533478912
45,True,0.6222149911007904,True,True,True,20,True,True,True,True,1500,1500,1.574325703896072,0.7090370524364495,0.8199356913183279,0.003072548402179409,0.01325224990420458,0.7189191269528501,0.7283805031446541,0.04692792870160967,0.04623070761444252
46,True,0.663407866159879,True,True,True,20,True,True,True,True,1500,1500,1.0855356738948245,0.7147899819861988,0.868608522229034,0.03790781142880195,0.0035231721171173763,0.7158047138197929,0.7708840304545647,0.08580675081663103,0.052754715131172414
47,True,0.6252011787790377,True,True,True,20,True,True,True,True,1500,1500,2.9028466364533774,0.7064236452615713,0.8819554641694418,0.013533834586466176,0.03705999177521928,0.7446726850210657,0.6996850141873775,0.036528822055137855,0.05832414595383363
48,True,0.6599296906145428,True,True,True,20,True,True,True,True,1500,1500,2.0319859142681445,0.6769339494993629,0.888842026496148,0.020205409802725338,0.06677682868958043,0.6901910021150661,0.7500366637335679,0.07303233679072607,0.024147238720584843
49,True,0.6184416082417997,True,True,True,20,True,True,True,True,1500,1500,2.2391046277658777,0.7005013350845585,0.9211414808283692,0.0030679493977728844,0.07167025289437516,0.7124179843225948,0.7873698214397072,0.06461631694568593,0.00981050809690312
50,True,0.6670991652425861,True,True,True,20,True,True,True,True,1500,1500,1.715055966247622,0.7371341316575082,0.8420901850684696,0.025577880512090978,0.04364374119281364,0.7419978944813215,0.699962428211046,0.07429765291607393,0.049356086411198555
51,True,0.646811760213822,True,True,True,20,True,True,True,True,1500,1500,1.7954654566725825,0.7188784490829665,0.8946422934111032,0.0023529411764705577,0.035948997576558714,0.7252714807644643,0.8093963916927719,0.040257043994068153,0.014018971435236324
