config,seed,interv_frac,alpha,boost,di_after_monitor,di_priv_after_monitor,efficiency_loss_rel,deviation_rel,efficiency_ok,reverse_ok,reaches_target,admissible,qualifying,selected
uniform bias=0.20 frac=1.00,67,1.0,1.0,1.090015772510115,0.8832186588032703,1.1322224570696504,0.022870935439543945,0.02450124517337635,True,True,True,True,True,True
uniform bias=0.20 frac=1.00,68,1.0,0.3,1.0040526315789473,0.7980506822612087,1.2530532486565704,0.0004202535849893724,0.001081466303919335,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,68,1.0,0.5,1.0067543859649122,0.8067251461988305,1.2395795578108009,0.0007518302870588849,0.0018024438398655592,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,68,1.0,0.7,1.0094561403508773,0.8110623781676414,1.2329507901219732,0.0011245331054566302,0.0025234213758118422,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,68,1.0,1.0,1.0135087719298246,0.8153996101364522,1.2263925412383456,0.0017606988011678358,0.003604887679731178,True,True,False,True,False,True
uniform bias=0.20 frac=1.00,69,1.0,0.3,1.0104934125913612,0.7871208318956052,1.2704529717397044,0.0006883772682970757,0.0029235919125220216,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,69,1.0,0.5,1.0174890209856018,0.8118471407509645,1.231758972600424,0.0014680830495806675,0.004872653187536664,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,69,1.0,0.7,1.0244846293798424,0.8242102951786443,1.2132825880114175,0.002504418912799418,0.006821714462551304,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,69,1.0,1.0,1.0349780419712036,0.8406945010822171,1.189492733344527,0.004540104111256004,0.009745306375073327,True,True,False,True,False,True
uniform bias=0.20 frac=1.00,70,1.0,0.3,1.025693762405639,0.7275370020161606,1.374500537056928,-0.0063520261787791445,0.006807995557265694,True,True,False,True,False,False
