seed,variant,selected_alpha,selected_boost,R2,RMSE,DI,EOD,AOD
42,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.079652142729066,0.7074845905950171,2.077424511415038,0.8652065527065528,0.010173832378801317,0.010525735719155258
42,"Single fixed candidate, alpha=0.3",0.3,1.0238956428187198,0.7248671055035796,2.0147545048310023,0.7312143874643875,0.06047834153424225,0.06353274560356371
42,"Single fixed candidate, alpha=0.5",0.5,1.0398260713645329,0.7212456271159071,2.027970911904143,0.7618411680911681,0.02243486327337263,0.042750443092847215
42,"Single fixed candidate, alpha=0.7",0.7,1.0557564999103461,0.7165481851735582,2.044986747454113,0.8039529914529915,0.011565298055981388,0.021470590061616376
42,"Single fixed candidate, alpha=1.0",1.0,1.079652142729066,0.7074845905950171,2.077424511415038,0.8652065527065528,0.010173832378801317,0.010525735719155258
42,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0227577550654474,0.7250846104564742,2.013957970256857,0.7312143874643875,0.06047834153424225,0.06353274560356371
42,"No correction, same base (R2 label ""w/o HED"")",,,0.7282818914200704,2.0022124997893385,0.6814458689458689,0.10395660240380744,0.09407469293975476
43,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.115019745258357,0.7214118420879734,2.105039094560898,0.8578182625390902,0.04157890777794504,0.034399797123347634
43,"Single fixed candidate, alpha=0.3",0.3,1.0345059235775071,0.7298260928508729,2.0730059173422504,0.675734197377491,0.0779863096133594,0.0668990570596692
43,"Single fixed candidate, alpha=0.5",0.5,1.0575098726291785,0.729782454294103,2.0731733267985457,0.7323825732055441,0.04537761396118545,0.03615427602058584
43,"Single fixed candidate, alpha=0.7",0.7,1.0805138216808499,0.7278504692655149,2.080571451177051,0.7930772615927438,0.003535429517075417,0.0008674293717081116
43,"Single fixed candidate, alpha=1.0",1.0,1.115019745258357,0.7214118420879734,2.105039094560898,0.8578182625390902,0.04157890777794504,0.034399797123347634
43,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0328627843595306,0.7297569517348328,2.0732711553427587,0.6676415722591976,0.0779863096133594,0.07050916536291829
43,"No correction, same base (R2 label ""w/o HED"")",,,0.7263509010513682,2.086295644039282,0.6231321341085845,0.12689935309162026,0.09857579540529782
44,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.1284374384534974,0.704185528480182,2.130366951357846,0.8481810068770014,0.038007087611256374,0.001466974656692016
44,"Single fixed candidate, alpha=0.3",0.3,1.038531231536049,0.7225774996944483,2.063077529461759,0.6777521129718095,0.13426377210323504,0.09842344190268135
44,"Single fixed candidate, alpha=0.5",0.5,1.0642187192267487,0.7203078579509079,2.0714995371828557,0.7134232768124311,0.11822099135457187,0.07868330152834976
44,"Single fixed candidate, alpha=0.7",0.7,1.089906206917448,0.7156500504675103,2.08867700681556,0.7768386791957583,0.08613542985724565,0.043109270779686654
44,"Single fixed candidate, alpha=1.0",1.0,1.1284374384534974,0.704185528480182,2.130366951357846,0.8481810068770014,0.038007087611256374,0.001466974656692016
44,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0366964109867136,0.7226482330687372,2.062814505125575,0.6777521129718095,0.13426377210323504,0.09842344190268135
44,"No correction, same base (R2 label ""w/o HED"")",,,0.7215041515475269,2.0670647019052875,0.6143367105884824,0.2037824886807751,0.13904217519145137
45,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.1106510416666666,0.7090370524364495,2.126136145054005,0.8199356913183279,0.003072548402179409,0.01325224990420458
45,"Single fixed candidate, alpha=0.3",0.3,1.0331953125,0.7381461179525088,2.016980666158548,0.6764469453376205,0.10804492409278721,0.07769547640263778
45,"Single fixed candidate, alpha=0.5",0.5,1.0553255208333334,0.7324263234559082,2.0388905824949717,0.7208601286173633,0.08042061470052198,0.05050539528510048
45,"Single fixed candidate, alpha=0.7",0.7,1.0774557291666667,0.7246288638672032,2.068385264291384,0.7686897106109324,0.019647134037538594,0.015101932545582036
45,"Single fixed candidate, alpha=1.0",1.0,1.1106510416666666,0.7090370524364495,2.126136145054005,0.8199356913183279,0.003072548402179409,0.01325224990420458
45,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0316145833333334,0.7384751722114967,2.015712965427835,0.6730305466237941,0.10804492409278721,0.07936771720531337
45,"No correction, same base (R2 label ""w/o HED"")",,,0.7428301876497139,1.998859280340718,0.6422829581993569,0.11909464784969326,0.09659826470249548
46,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.0760817937385323,0.7147899819861988,2.1217458476444775,0.868608522229034,0.03790781142880195,0.0035231721171173763
46,"Single fixed candidate, alpha=0.3",0.3,1.0228245381215597,0.7275311789135381,2.0738119810913425,0.7258794223322443,0.1152558777271444,0.0743299655096658
46,"Single fixed candidate, alpha=0.5",0.5,1.0380408968692663,0.7249788387604779,2.083502513071616,0.7585032165943677,0.09868129209178533,0.056714314483031034
46,"Single fixed candidate, alpha=0.7",0.7,1.0532572556169726,0.7215560971464741,2.096427409156442,0.7952049851392564,0.08210670645642626,0.037232991814605224
46,"Single fixed candidate, alpha=1.0",1.0,1.0760817937385323,0.7147899819861988,2.1217458476444775,0.868608522229034,0.03790781142880195,0.0035231721171173763
46,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0217376553538664,0.7276801827461186,2.0732448553010636,0.7218014480494789,0.1152558777271444,0.07619563715145684
46,"No correction, same base (R2 label ""w/o HED"")",,,0.7297276864038589,2.0654360483044734,0.672865756656294,0.13735532524095662,0.10217073404269131
47,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.1597033748111114,0.7064236452615713,2.0986233466164435,0.8819554641694418,0.013533834586466176,0.03705999177521928
47,"Single fixed candidate, alpha=0.3",0.3,1.0479110124433335,0.7483439819076944,1.9430215770177464,0.6693412004857371,0.08170426065162906,0.07964996493473744
47,"Single fixed candidate, alpha=0.5",0.5,1.0798516874055557,0.7411826732482887,1.9704736729506018,0.7323380193549829,0.05789473684210522,0.045927021211793706
47,"Single fixed candidate, alpha=0.7",0.7,1.111792362367778,0.7301686202830081,2.0119639282452435,0.7913975370449009,0.022180451127819523,0.011706241991014485
47,"Single fixed candidate, alpha=1.0",1.0,1.1597033748111114,0.7064236452615713,2.0986233466164435,0.8819554641694418,0.013533834586466176,0.03705999177521928
47,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0456295356603176,0.748708077514519,1.9416154876787128,0.6654038993064092,0.08765664160400999,0.08262615541092791
47,"No correction, same base (R2 label ""w/o HED"")",,,0.751862049323287,1.9293923788215925,0.5748459721818683,0.16503759398496243,0.1394984497832223
48,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.1314451774248553,0.6769339494993629,2.2432880909768995,0.888842026496148,0.020205409802725338,0.06677682868958043
48,"Single fixed candidate, alpha=0.3",0.3,1.0394335532274566,0.7209414945277033,2.0849086039118876,0.7124844815564361,0.08282489322757769,0.04010745034234961
48,"Single fixed candidate, alpha=0.5",0.5,1.0657225887124278,0.711860919475515,2.118558557724713,0.754810292341967,0.05858246898515351,0.014563419429191204
48,"Single fixed candidate, alpha=0.7",0.7,1.0920116241973987,0.6999859370300282,2.161773535108383,0.7971361031274977,0.034340044742729225,0.010980611483967229
48,"Single fixed candidate, alpha=1.0",1.0,1.1314451774248553,0.6769339494993629,2.2432880909768995,0.888842026496148,0.020205409802725338,0.06677682868958043
48,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.03755576497853,0.7214831781770956,2.0828841010469774,0.7124844815564361,0.08282489322757769,0.04010745034234961
48,"No correction, same base (R2 label ""w/o HED"")",,,0.7293228432435506,2.053360448885153,0.6348871617829629,0.12524913565182016,0.08648735678937018
49,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.1427333545715197,0.7005013350845585,2.1638084352240283,0.9211414808283692,0.0030679493977728844,0.07167025289437516
49,"Single fixed candidate, alpha=0.3",0.3,1.0428200063714559,0.737534555920934,2.025617453856809,0.738435732564891,0.08995530641618055,0.034991750952451176
49,"Single fixed candidate, alpha=0.5",0.5,1.0713666772857597,0.7308106984574665,2.05139957833313,0.7917249091417388,0.05507158548594804,0.0025122965023725158
49,"Single fixed candidate, alpha=0.7",0.7,1.0999133482000638,0.7210011907736014,2.0884425788037606,0.8526268252295649,0.031815771532459625,0.0316720014518153
49,"Single fixed candidate, alpha=1.0",1.0,1.1427333545715197,0.7005013350845585,2.1638084352240283,0.9211414808283692,0.0030679493977728844,0.07167025289437516
49,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0407809584490055,0.7378967581037685,2.024219295784382,0.7308229930539127,0.09576925990455265,0.03977842694475753
49,"No correction, same base (R2 label ""w/o HED"")",,,0.7418347479528898,2.00895522731811,0.6280510096557063,0.15390879478827357,0.1008030816046631
50,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.1273517612793318,0.7371341316575082,2.0719230187989766,0.8420901850684696,0.025577880512090978,0.04364374119281364
50,"Single fixed candidate, alpha=0.3",0.3,1.0382055283837994,0.745157759154981,2.040056631287695,0.6720907580358677,0.10415184921763876,0.05514969510062266
50,"Single fixed candidate, alpha=0.5",0.5,1.063675880639666,0.745632999079684,2.038153554355243,0.7274394086976451,0.06090860597439551,0.02281378776471532
50,"Single fixed candidate, alpha=0.7",0.7,1.0891462328955321,0.7438940750652021,2.0451083823966556,0.770927634217613,0.03388157894736843,0.0014140114630839251
50,"Single fixed candidate, alpha=1.0",1.0,1.1273517612793318,0.7371341316575082,2.0719230187989766,0.8420901850684696,0.025577880512090978,0.04364374119281364
50,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0363862175083804,0.7450390877851354,2.0405315685209193,0.668137282988598,0.10955725462304411,0.05785239780332534
50,"No correction, same base (R2 label ""w/o HED"")",,,0.7402933418819555,2.059434850537556,0.6206955824213602,0.13117887624466573,0.08294892289985042
51,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.0726151665485473,0.7188784490829665,2.0891369300703833,0.8946422934111032,0.0023529411764705577,0.035948997576558714
51,"Single fixed candidate, alpha=0.3",0.3,1.0217845499645641,0.7344264793620181,2.030543144262011,0.7912614061724869,0.05378151260504194,0.021600494130236333
