model,metric,n,mean,std,median,IQR,CI95_lo,CI95_hi,min,max
DL,R2,30,0.7378,0.0124,0.739,0.017,0.7331,0.7424,0.714,0.7575
DL,RMSE,30,2.0181,0.0369,2.0191,0.0551,2.0043,2.0319,1.9197,2.0861
DL,DI,30,0.7585,0.0565,0.7513,0.0684,0.7374,0.7796,0.6734,0.8817
DL,EOD,30,0.0775,0.0389,0.0765,0.0615,0.063,0.092,0.0053,0.1534
DL,AOD,30,0.06,0.0242,0.056,0.0278,0.0509,0.069,0.0155,0.1172
Debiased-HITL,R2,30,0.726,0.017,0.7307,0.0189,0.7197,0.7324,0.6801,0.7578
Debiased-HITL,RMSE,30,2.0626,0.0609,2.0543,0.0512,2.0398,2.0853,1.9704,2.2262
Debiased-HITL,DI,30,0.7653,0.0499,0.7671,0.0605,0.7466,0.7839,0.6629,0.8834
Debiased-HITL,EOD,30,0.0721,0.0342,0.0751,0.0629,0.0593,0.0849,0.0076,0.1246
Debiased-HITL,AOD,30,0.0556,0.0191,0.0566,0.017,0.0485,0.0628,0.0069,0.0903
FE-HITL,R2,30,0.7222,0.0159,0.7225,0.0159,0.7162,0.7281,0.6722,0.7582
FE-HITL,RMSE,30,2.0771,0.0561,2.0629,0.056,2.0562,2.0981,1.9797,2.2534
FE-HITL,DI,30,0.8339,0.0422,0.8307,0.0553,0.8181,0.8496,0.7252,0.907
FE-HITL,EOD,30,0.0397,0.0278,0.0359,0.0322,0.0293,0.0501,0.0022,0.1162
FE-HITL,AOD,30,0.0254,0.0195,0.0224,0.0322,0.0182,0.0327,0.0006,0.0684
LR,R2,30,0.7422,0.012,0.7423,0.0172,0.7377,0.7467,0.7186,0.7639
LR,RMSE,30,2.0011,0.0368,2.0008,0.0546,1.9874,2.0149,1.8999,2.0626
LR,DI,30,0.7427,0.0516,0.7315,0.0692,0.7235,0.762,0.6741,0.8622
LR,EOD,30,0.0891,0.0359,0.0895,0.0598,0.0756,0.1025,0.0035,0.1491
LR,AOD,30,0.0688,0.0223,0.0679,0.0273,0.0605,0.0771,0.021,0.1193
