comparison,metric,FE-HITL_M,LR_M,mean_diff,diff_CI_lo,diff_CI_hi,t_stat,df,p_raw,Cohen's_d,DL_M,Debiased-HITL_M,p_BH,p_Bonferroni,sig_BH_0.05,sig_Bonf_0.05
FE-HITL vs LR,R2,0.7311,0.7444,-0.0133,-0.0171,-0.0096,-7.2024,29,0.0,-1.315,,,0.0,1e-06,True,True
FE-HITL vs LR,RMSE,2.0511,1.9998,0.0513,0.0369,0.0658,7.2913,29,0.0,1.3312,,,0.0,1e-06,True,True
FE-HITL vs LR,DI,0.8695,0.8634,0.0061,0.0008,0.0114,2.3519,29,0.02568,0.4294,,,0.055028,0.385195,False,False
FE-HITL vs LR,EOD,0.04,0.0443,-0.0043,-0.0084,-0.0002,-2.1585,29,0.039304,-0.3941,,,0.073696,0.589566,False,False
FE-HITL vs LR,AOD,0.0317,0.036,-0.0043,-0.0069,-0.0017,-3.3958,29,0.002002,-0.62,,,0.006006,0.030031,True,True
FE-HITL vs DL,R2,0.7311,,-0.0085,-0.0128,-0.0042,-4.0376,29,0.000361,-0.7372,0.7396,,0.001354,0.005418,True,True
FE-HITL vs DL,RMSE,2.0511,,0.0325,0.0161,0.0489,4.054,29,0.000345,0.7402,2.0186,,0.001354,0.005181,True,True
FE-HITL vs DL,DI,0.8695,,-0.0076,-0.0136,-0.0015,-2.5536,29,0.01618,-0.4662,0.8771,,0.040449,0.242696,True,False
FE-HITL vs DL,EOD,0.04,,0.0019,-0.0038,0.0076,0.6712,29,0.507422,0.1225,0.0381,,0.585487,1.0,False,False
FE-HITL vs DL,AOD,0.0317,,0.0025,-0.0007,0.0057,1.5963,29,0.121256,0.2914,0.0293,,0.202094,1.0,False,False
FE-HITL vs Debiased-HITL,R2,0.7311,,0.0,-0.0,0.0001,0.5474,29,0.588273,0.0999,,0.7311,0.607085,1.0,False,False
FE-HITL vs Debiased-HITL,RMSE,2.0511,,-0.0,-0.0002,0.0001,-0.5199,29,0.607085,-0.0949,,2.0512,0.607085,1.0,False,False
FE-HITL vs Debiased-HITL,DI,0.8695,,0.0004,-0.0008,0.0017,0.7434,29,0.463204,0.1357,,0.869,0.579005,1.0,False,False
FE-HITL vs Debiased-HITL,EOD,0.04,,-0.0005,-0.0015,0.0005,-0.9537,29,0.348102,-0.1741,,0.0404,0.522153,1.0,False,False
FE-HITL vs Debiased-HITL,AOD,0.0317,,-0.0002,-0.0009,0.0004,-0.7885,29,0.436814,-0.144,,0.032,0.579005,1.0,False,False
