metric,F_stat,df_between,df_within,p_anova,eta2,sig_0.05
R2,7.5297,3,116,0.00012,0.163,True
RMSE,10.9819,3,116,2e-06,0.2212,True
DI,0.3159,3,116,0.813891,0.0081,False
EOD,0.2846,3,116,0.836436,0.0073,False
AOD,0.7024,3,116,0.552457,0.0178,False
