model,metric,seed,value,z_score,outlier
FE-HITL,DI,42,0.906267332224071,0.9545215265732735,False
FE-HITL,DI,43,0.8646184057965968,-0.158498103977022,False
FE-HITL,DI,44,0.8575894821107897,-0.34633800082445876,False
FE-HITL,DI,45,0.827922077922078,-1.139165237488209,False
FE-HITL,DI,46,0.8808424450773302,0.2750706757061797,False
FE-HITL,DI,47,0.8468962539924122,-0.6321022168705027,False
FE-HITL,DI,48,0.878472088521411,0.21172562447812873,False
FE-HITL,DI,49,0.8995294363693401,0.774459013606029,False
FE-HITL,DI,50,0.7940926356369409,-2.04321815274145,True
FE-HITL,DI,51,0.8862495792977075,0.4195701153923418,False
FE-HITL,DI,52,0.8568242193373766,-0.36678876780452224,False
FE-HITL,DI,53,0.908033608490566,1.0017232272223269,False
FE-HITL,DI,54,0.8445663010967098,-0.6943675267744707,False
FE-HITL,DI,55,0.847067448680352,-0.6275272358405658,False
FE-HITL,DI,56,0.971928811928812,2.709249010596651,True
FE-HITL,DI,57,0.9356712771482985,1.7403081175739974,False
FE-HITL,DI,58,0.866741698631815,-0.10175554637184478,False
FE-HITL,DI,59,0.905742145178765,0.9404865071555651,False
FE-HITL,DI,60,0.8121883903133903,-1.5596299330166719,False
FE-HITL,DI,61,0.8629032258064517,-0.20433431544054653,False
FE-HITL,DI,62,0.8431345192419486,-0.7326302491951793,False
FE-HITL,DI,63,0.8388476025654076,-0.8471931641320709,False
FE-HITL,DI,64,0.8440320454314978,-0.7086448946232958,False
FE-HITL,DI,65,0.8785108304847594,0.21276095886562918,False
FE-HITL,DI,66,0.8716070659198621,0.02826579549547977,False
FE-HITL,DI,67,0.915725334776612,1.2072757608295677,False
FE-HITL,DI,68,0.8658654692727592,-0.1251717676564904,False
FE-HITL,DI,69,0.912313768346498,1.116105573903971,False
FE-HITL,DI,70,0.840126334787186,-0.8130205170283097,False
FE-HITL,DI,71,0.8521711654780174,-0.491136277613521,False
FE-HITL,EOD,42,0.0467074534570094,0.6749483364858028,False
FE-HITL,EOD,43,0.0616045262129598,1.4865455656579836,False
FE-HITL,EOD,44,0.0282296007527893,-0.33173091530254406,False
FE-HITL,EOD,45,0.0486996644295302,0.7834846195336561,False
FE-HITL,EOD,46,0.0186227407915808,-0.8551156804368643,False
FE-HITL,EOD,47,0.0305298013245033,-0.2064152616082523,False
FE-HITL,EOD,48,0.0165484633569739,-0.9681229702608936,False
FE-HITL,EOD,49,0.0348272642390289,0.027711875382874156,False
FE-HITL,EOD,50,0.0078710973694734,-1.4408686101152268,False
FE-HITL,EOD,51,0.0050603047207461,-1.5940014814421397,False
FE-HITL,EOD,52,0.0564419795221842,1.2052883912891537,False
FE-HITL,EOD,53,0.0444232737024099,0.550505501968286,False
FE-HITL,EOD,54,0.0456681582083511,0.6183272030644084,False
FE-HITL,EOD,55,0.0302569770654876,-0.2212788134144052,False
FE-HITL,EOD,56,0.0470349405484366,0.692789936667678,False
FE-HITL,EOD,57,0.0395114674622413,0.282908746548054,False
FE-HITL,EOD,58,0.0477322067711083,0.7307772207191482,False
FE-HITL,EOD,59,0.0107896182947965,-1.2818666682520423,False
FE-HITL,EOD,60,0.0318984171618756,-0.13185263849366458,False
FE-HITL,EOD,61,0.0257536209632018,-0.46662307630866323,False
FE-HITL,EOD,62,0.0348558226329587,0.029267745704698155,False
FE-HITL,EOD,63,0.0094706578724843,-1.3537240486698678,False
FE-HITL,EOD,64,0.0333333333333333,-0.05367795223630911,False
FE-HITL,EOD,65,0.0600091355487039,1.3996281783450928,False
FE-HITL,EOD,66,0.0659411011523687,1.7228035381187778,False
FE-HITL,EOD,67,0.0675811243585291,1.812152520412376,False
FE-HITL,EOD,68,0.0154738878143133,-1.0266661852432586,False
FE-HITL,EOD,69,0.0295533005544512,-0.2596153320007543,False
FE-HITL,EOD,70,0.0322912604532259,-0.11045041189640016,False
FE-HITL,EOD,71,0.0028369722958744,-1.715129334216691,False
FE-HITL,AOD,42,0.0688440621661623,0.057610028919594526,False
FE-HITL,AOD,43,0.0607078483641298,-0.3040101358597837,False
FE-HITL,AOD,44,0.0251810889194946,-1.8830237799256462,False
FE-HITL,AOD,45,0.0604052567430669,-0.31745904889624915,False
FE-HITL,AOD,46,0.0553694240073788,-0.541280436582251,False
FE-HITL,AOD,47,0.0614415740233619,-0.271399145016833,False
FE-HITL,AOD,48,0.0883660679626496,0.9252803144750417,False
FE-HITL,AOD,49,0.093875620423608,1.1701565329803485,False
FE-HITL,AOD,50,0.0512473941810992,-0.7244871640938083,False
FE-HITL,AOD,51,0.0640195802210695,-0.15681771332136873,False
FE-HITL,AOD,52,0.0434819906239048,-1.0696263876021077,False
FE-HITL,AOD,53,0.0882288639334333,0.9191821778158007,False
FE-HITL,AOD,54,0.0740998721622752,0.29120847201466904,False
