model,metric,seed,value,z_score,outlier
FE-HITL,AOD,55,0.0563584167337188,-0.4973239082305334,False
FE-HITL,AOD,56,0.1109368845309874,1.9284572964526383,False
FE-HITL,AOD,57,0.086414881977658,0.8385583803449901,False
FE-HITL,AOD,58,0.0504423908875596,-0.7602661432038474,False
FE-HITL,AOD,59,0.0530972498910761,-0.6422689305349985,False
FE-HITL,AOD,60,0.0385462657443402,-1.28899840604734,False
FE-HITL,AOD,61,0.0202030374271443,-2.1042770366301644,True
FE-HITL,AOD,62,0.0709171427778034,0.1497496617541337,False
FE-HITL,AOD,63,0.0430994312016897,-1.0866295299316235,False
FE-HITL,AOD,64,0.0866666666666666,0.8497491409301496,False
FE-HITL,AOD,65,0.0970194209587374,1.3098851211429399,False
FE-HITL,AOD,66,0.0933345936755398,1.14611019072007,False
FE-HITL,AOD,67,0.1041303859618849,1.625937329055201,False
FE-HITL,AOD,68,0.0721785784577461,0.20581512285663256,False
FE-HITL,AOD,69,0.0824842612676252,0.663858975507298,False
FE-HITL,AOD,70,0.0572157549845571,-0.4592188624336344,False
FE-HITL,AOD,71,0.0681222351745252,0.02552788334067623,False
