model,metric,n,mean,std,median,IQR,CI95_lo,CI95_hi,min,max
DL,R2,30,0.7399,0.0119,0.74,0.0174,0.7355,0.7444,0.7143,0.7586
DL,RMSE,30,2.0225,0.0372,2.0235,0.0438,2.0086,2.0364,1.914,2.0982
DL,DI,30,0.54,0.0522,0.5356,0.0763,0.5205,0.5595,0.4546,0.6456
DL,EOD,30,0.1779,0.0496,0.1704,0.0635,0.1593,0.1964,0.0835,0.2826
DL,AOD,30,0.1282,0.0337,0.1305,0.05,0.1156,0.1408,0.0491,0.1864
Debiased-HITL,R2,30,0.7304,0.0178,0.7312,0.022,0.7238,0.7371,0.6831,0.7585
Debiased-HITL,RMSE,30,2.0588,0.0668,2.0443,0.0765,2.0339,2.0837,1.9146,2.2256
Debiased-HITL,DI,30,0.6038,0.0449,0.6038,0.0642,0.587,0.6205,0.5156,0.6923
Debiased-HITL,EOD,30,0.1197,0.0417,0.1173,0.0539,0.1041,0.1352,0.0485,0.2248
Debiased-HITL,AOD,30,0.0877,0.0221,0.0873,0.0257,0.0794,0.0959,0.0475,0.1453
FE-HITL,R2,30,0.6781,0.0304,0.6813,0.0347,0.6668,0.6895,0.5682,0.7311
FE-HITL,RMSE,30,2.2486,0.1056,2.2372,0.1061,2.2092,2.288,2.0742,2.5977
FE-HITL,DI,30,0.8705,0.0374,0.8652,0.0511,0.8566,0.8845,0.7941,0.9719
FE-HITL,EOD,30,0.0343,0.0184,0.0328,0.0265,0.0275,0.0412,0.0028,0.0676
FE-HITL,AOD,30,0.0675,0.0225,0.0661,0.0329,0.0591,0.0759,0.0202,0.1109
LR,R2,30,0.7446,0.0122,0.745,0.0185,0.74,0.7491,0.7203,0.7663
LR,RMSE,30,2.0044,0.0372,2.0056,0.0549,1.9905,2.0183,1.9017,2.068
LR,DI,30,0.5258,0.045,0.5175,0.0604,0.509,0.5426,0.441,0.6211
LR,EOD,30,0.1868,0.0426,0.1863,0.061,0.1709,0.2027,0.1318,0.2909
LR,AOD,30,0.1377,0.0277,0.1357,0.0351,0.1273,0.148,0.0929,0.1985
