comparison,metric,FE-HITL_M,LR_M,mean_diff,diff_CI_lo,diff_CI_hi,t_stat,df,p_raw,Cohen's_d,DL_M,Debiased-HITL_M,p_BH,p_Bonferroni,sig_BH_0.05,sig_Bonf_0.05
FE-HITL vs LR,R2,0.7222,0.7422,-0.02,-0.0256,-0.0144,-7.3051,29,0.0,-1.3337,,,0.0,1e-06,True,True
FE-HITL vs LR,RMSE,2.0771,2.0011,0.076,0.0551,0.0969,7.4256,29,0.0,1.3557,,,0.0,1e-06,True,True
FE-HITL vs LR,DI,0.8339,0.7427,0.0911,0.0658,0.1164,7.3616,29,0.0,1.344,,,0.0,1e-06,True,True
FE-HITL vs LR,EOD,0.0397,0.0891,-0.0493,-0.0633,-0.0354,-7.2408,29,0.0,-1.322,,,0.0,1e-06,True,True
FE-HITL vs LR,AOD,0.0254,0.0688,-0.0433,-0.0552,-0.0315,-7.4554,29,0.0,-1.3612,,,0.0,0.0,True,True
FE-HITL vs DL,R2,0.7222,,-0.0156,-0.0216,-0.0096,-5.3351,29,1e-05,-0.9741,0.7378,,1.2e-05,0.00015,True,True
FE-HITL vs DL,RMSE,2.0771,,0.059,0.0367,0.0814,5.4104,29,8e-06,0.9878,2.0181,,1.1e-05,0.000122,True,True
FE-HITL vs DL,DI,0.8339,,0.0753,0.0478,0.1028,5.6021,29,5e-06,1.0228,0.7585,,8e-06,7.2e-05,True,True
FE-HITL vs DL,EOD,0.0397,,-0.0378,-0.0535,-0.022,-4.8977,29,3.4e-05,-0.8942,0.0775,,3.9e-05,0.000506,True,True
FE-HITL vs DL,AOD,0.0254,,-0.0345,-0.0475,-0.0215,-5.4237,29,8e-06,-0.9902,0.06,,1.1e-05,0.000117,True,True
FE-HITL vs Debiased-HITL,R2,0.7222,,-0.0039,-0.0064,-0.0013,-3.1386,29,0.00388,-0.573,,0.726,0.00388,0.058196,True,False
FE-HITL vs Debiased-HITL,RMSE,2.0771,,0.0146,0.0051,0.024,3.1527,29,0.003743,0.5756,,2.0626,0.00388,0.05615,True,False
FE-HITL vs Debiased-HITL,DI,0.8339,,0.0686,0.0486,0.0886,7.0247,29,0.0,1.2825,,0.7653,0.0,2e-06,True,True
FE-HITL vs Debiased-HITL,EOD,0.0397,,-0.0324,-0.0437,-0.0211,-5.869,29,2e-06,-1.0715,,0.0721,4e-06,3.4e-05,True,True
FE-HITL vs Debiased-HITL,AOD,0.0254,,-0.0302,-0.04,-0.0204,-6.304,29,1e-06,-1.1509,,0.0556,1e-06,1e-05,True,True
