comparison,metric,FE-HITL_M,LR_M,mean_diff,diff_CI_lo,diff_CI_hi,t_stat,df,p_raw,Cohen's_d,DL_M,Debiased-HITL_M,p_BH,p_Bonferroni,sig_BH_0.05,sig_Bonf_0.05
FE-HITL vs LR,R2,0.6781,0.7446,-0.0664,-0.0774,-0.0555,-12.4214,29,0.0,-2.2678,,,0.0,0.0,True,True
FE-HITL vs LR,RMSE,2.2486,2.0044,0.2442,0.2066,0.2819,13.2648,29,0.0,2.4218,,,0.0,0.0,True,True
FE-HITL vs LR,DI,0.8705,0.5258,0.3448,0.3218,0.3677,30.6668,29,0.0,5.599,,,0.0,0.0,True,True
FE-HITL vs LR,EOD,0.0343,0.1868,-0.1525,-0.1693,-0.1356,-18.5134,29,0.0,-3.3801,,,0.0,0.0,True,True
FE-HITL vs LR,AOD,0.0675,0.1377,-0.0701,-0.0818,-0.0584,-12.2702,29,0.0,-2.2402,,,0.0,0.0,True,True
FE-HITL vs DL,R2,0.6781,,-0.0618,-0.0729,-0.0508,-11.4419,29,0.0,-2.089,0.7399,,0.0,0.0,True,True
FE-HITL vs DL,RMSE,2.2486,,0.2261,0.1882,0.2641,12.1791,29,0.0,2.2236,2.0225,,0.0,0.0,True,True
FE-HITL vs DL,DI,0.8705,,0.3305,0.3042,0.3569,25.6399,29,0.0,4.6812,0.54,,0.0,0.0,True,True
FE-HITL vs DL,EOD,0.0343,,-0.1435,-0.1623,-0.1247,-15.616,29,0.0,-2.8511,0.1779,,0.0,0.0,True,True
FE-HITL vs DL,AOD,0.0675,,-0.0607,-0.0731,-0.0483,-10.0116,29,0.0,-1.8279,0.1282,,0.0,0.0,True,True
FE-HITL vs Debiased-HITL,R2,0.6781,,-0.0523,-0.0613,-0.0433,-11.9269,29,0.0,-2.1775,,0.7304,0.0,0.0,True,True
FE-HITL vs Debiased-HITL,RMSE,2.2486,,0.1898,0.1588,0.2208,12.5208,29,0.0,2.286,,2.0588,0.0,0.0,True,True
FE-HITL vs Debiased-HITL,DI,0.8705,,0.2668,0.2487,0.2849,30.083,29,0.0,5.4924,,0.6038,0.0,0.0,True,True
FE-HITL vs Debiased-HITL,EOD,0.0343,,-0.0854,-0.1033,-0.0675,-9.7506,29,0.0,-1.7802,,0.1197,0.0,0.0,True,True
FE-HITL vs Debiased-HITL,AOD,0.0675,,-0.0201,-0.0324,-0.0078,-3.3363,29,0.002337,-0.6091,,0.0877,0.002337,0.035054,True,True
