model,metric,seed,value,z_score,outlier
Full,DI,42,0.8652065527065528,0.030962942399031117,False
Full,DI,43,0.8578182625390902,-0.1541270059038848,False
Full,DI,44,0.8481810068770014,-0.395557582105878,False
Full,DI,45,0.8199356913183279,-1.1031535045803067,False
Full,DI,46,0.868608522229034,0.11618839358896324,False
Full,DI,47,0.8819554641694418,0.4505532788003601,False
Full,DI,48,0.888842026496148,0.6230740428938215,False
Full,DI,49,0.9211414808283692,1.4322334284971643,False
Full,DI,50,0.8420901850684696,-0.548143615966349,False
Full,DI,51,0.8946422934111032,0.7683811544309544,False
Full,DI,52,0.8387959334957111,-0.6306705389050108,False
Full,DI,53,0.8942871307340119,0.7594836910054568,False
Full,DI,54,0.8076367389060888,-1.411264368469559,False
Full,DI,55,0.8401953418482344,-0.5956128443975739,False
Full,DI,56,0.9061118791253724,1.0557148918441173,False
Full,DI,57,0.944590694915593,2.0196783886670033,True
Full,DI,58,0.7904453974471535,-1.841938371489248,False
Full,DI,59,0.8637514998000267,-0.005488748200907095,False
Full,DI,60,0.826723829939264,-0.9330984312217585,False
Full,DI,61,0.8408392835773266,-0.5794809466720814,False
Full,DI,62,0.8180765762472278,-1.1497276786584285,False
Full,DI,63,0.8222553885668669,-1.0450409191134649,False
Full,DI,64,0.8508771929824562,-0.32801327407756065,False
Full,DI,65,0.8621920229808862,-0.04455644550189979,False
Full,DI,66,0.9217859064012912,1.4483774473802469,False
Full,DI,67,0.9511955599353972,2.1851421289038253,True
Full,DI,68,0.8569227806662815,-0.17656043634416385,False
Full,DI,69,0.9045512987149852,1.0166195475988176,False
Full,DI,70,0.8412036960782698,-0.5703517585335922,False
Full,DI,71,0.8482582355168496,-0.39362286586801665,False
Full,EOD,42,0.0101738323788013,-0.8081327813169715,False
Full,EOD,43,0.041578907777945,0.8803564479704267,False
Full,EOD,44,0.0380070876112563,0.6883180655193585,False
Full,EOD,45,0.0030725484021794,-1.1899322629690423,False
Full,EOD,46,0.0379078114288019,0.6829804962676195,False
Full,EOD,47,0.0135338345864661,-0.6274827600729982,False
Full,EOD,48,0.0202054098027253,-0.26878650630308826,False
Full,EOD,49,0.0030679493977728,-1.1901795277600766,False
Full,EOD,50,0.0255778805120909,0.02006358598719134,False
Full,EOD,51,0.0023529411764705,-1.2286218389208325,False
Full,EOD,52,0.0255313079446583,0.01755961879428485,False
Full,EOD,53,0.0241376349625431,-0.05737100275469343,False
Full,EOD,54,0.0239345994840073,-0.06828717519859898,False
Full,EOD,55,0.0054526355996943,-1.061967227168545,False
Full,EOD,56,0.0080544174071588,-0.9220828134861794,False
Full,EOD,57,0.0426841214711907,0.9397780985599744,False
Full,EOD,58,0.0210758100031456,-0.22198956839096531,False
Full,EOD,59,0.0297223723839679,0.24289157788318552,False
Full,EOD,60,0.0173271430940142,-0.42353608976715773,False
Full,EOD,61,0.0540758517585961,1.5522527909071708,False
Full,EOD,62,0.0155473294553145,-0.5192275065489559,False
Full,EOD,63,0.0482557025110216,1.2393333282892702,False
Full,EOD,64,0.0396416298478153,0.7761989868726142,False
Full,EOD,65,0.0379014189693801,0.6826368066332152,False
Full,EOD,66,0.0760122987128042,2.7316626136909323,True
Full,EOD,67,0.0477732132655004,1.2133923654367578,False
Full,EOD,68,0.0034843205574912,-1.1677933940019138,False
Full,EOD,69,0.0001442085832948,-1.3473740197882242,False
Full,EOD,70,0.0060985411726881,-1.0272402096633915,False
Full,EOD,71,0.0338084679548094,0.46257990129962717,False
Full,AOD,42,0.0105257357191552,-1.0109004614033859,False
Full,AOD,43,0.0343997971233476,-0.06492468102823544,False
Full,AOD,44,0.001466974656692,-1.3698410044561415,False
Full,AOD,45,0.0132522499042045,-0.9028662086535372,False
Full,AOD,46,0.0035231721171173,-1.2883671000248806,False
Full,AOD,47,0.0370599917752192,0.04048175439762535,False
Full,AOD,48,0.0667768286895804,1.2179692172307157,False
Full,AOD,49,0.0716702528943751,1.411864202355636,False
Full,AOD,50,0.0436437411928136,0.301353475704735,False
Full,AOD,51,0.0359489975765587,-0.0035398130381347494,False
Full,AOD,52,0.0113931049527213,-0.9765321872457262,False
Full,AOD,53,0.0468397069691422,0.42798908110632844,False
Full,AOD,54,0.0203490681006799,-0.6216648655752927,False
Full,AOD,55,0.0147253402827406,-0.8444970942910306,False
Full,AOD,56,0.0485895787581471,0.49732526581052333,False
Full,AOD,57,0.0594372988308334,0.9271507692017732,False
Full,AOD,58,0.0177682971584355,-0.723924249294162,False
Full,AOD,59,0.0103183394621937,-1.0191182435689117,False
Full,AOD,60,0.0167623500918823,-0.7637834732941325,False
Full,AOD,61,0.0140897187079833,-0.8696826965655867,False
Full,AOD,62,0.0332978105936165,-0.10858933237416103,False
Full,AOD,63,0.0064710483039258,-1.17156169230419,False
Full,AOD,64,0.0692653043026622,1.3165715295970652,False
Full,AOD,65,0.0659130154713863,1.1837418451323913,False
Full,AOD,66,0.0860327626242788,1.980958254677436,False
Full,AOD,67,0.0925185931993517,2.237950080900945,True
Full,AOD,68,0.0341564715620504,-0.07456611085604506,False
Full,AOD,69,0.048741401043597,0.503341008273663,False
Full,AOD,70,0.0283903760949382,-0.3030394554986633,False
Full,AOD,71,0.0378226798194805,0.07070218508338144,False
