model,metric,n,mean,std,median,IQR,CI95_lo,CI95_hi,min,max
DL,R2,30,0.7396,0.012,0.7403,0.0158,0.7351,0.7441,0.7155,0.7591
DL,RMSE,30,2.0186,0.0363,2.0145,0.0464,2.0051,2.0322,1.9151,2.102
DL,DI,30,0.8771,0.0565,0.8766,0.0772,0.856,0.8982,0.7925,0.9953
DL,EOD,30,0.0381,0.0267,0.034,0.0515,0.0281,0.0481,0.0027,0.0868
DL,AOD,30,0.0293,0.0189,0.0245,0.0293,0.0222,0.0363,0.0026,0.0718
Debiased-HITL,R2,30,0.7311,0.0144,0.7326,0.019,0.7257,0.7364,0.704,0.7632
Debiased-HITL,RMSE,30,2.0512,0.0469,2.05,0.0675,2.0337,2.0687,1.9715,2.1493
Debiased-HITL,DI,30,0.869,0.054,0.8625,0.072,0.8489,0.8892,0.7827,0.9762
Debiased-HITL,EOD,30,0.0404,0.027,0.0408,0.0474,0.0304,0.0505,0.0012,0.1004
Debiased-HITL,AOD,30,0.032,0.0177,0.0298,0.0257,0.0254,0.0386,0.0034,0.0699
FE-HITL,R2,30,0.7311,0.0143,0.7326,0.019,0.7257,0.7364,0.704,0.7632
FE-HITL,RMSE,30,2.0511,0.0468,2.05,0.0675,2.0337,2.0686,1.9715,2.1493
FE-HITL,DI,30,0.8695,0.0534,0.8625,0.072,0.8495,0.8894,0.7869,0.9762
FE-HITL,EOD,30,0.04,0.0267,0.0399,0.0501,0.03,0.05,0.0012,0.1004
FE-HITL,AOD,30,0.0317,0.0174,0.0298,0.0257,0.0253,0.0382,0.0034,0.0699
LR,R2,30,0.7444,0.0118,0.7451,0.0165,0.74,0.7488,0.7222,0.7673
LR,RMSE,30,1.9998,0.0367,1.9983,0.0542,1.9861,2.0135,1.8981,2.0612
LR,DI,30,0.8634,0.0547,0.8469,0.0818,0.843,0.8838,0.7841,0.9825
LR,EOD,30,0.0443,0.0266,0.0457,0.0488,0.0344,0.0543,0.0025,0.0928
LR,AOD,30,0.036,0.0192,0.0337,0.0233,0.0289,0.0432,0.0023,0.0873
