R2,RMSE,DI,EOD,AOD
0.6166708147272235,0.9542221717234818,0.9844693424360881,-0.3251028806584362,0.04829193316475783
0.6298420457526542,0.9413520151593407,0.9582375926052611,-0.24931880108991822,0.10150196864819491
0.5918982654951401,0.9694592607753298,0.997832171390769,-0.36106983655274894,-1.2352955709393765e-05
0.60910286265201,0.9511812346760086,1.0668169706907153,-0.17291066282420753,0.19529986489274614
0.5932080341251873,0.9405331180814281,1.0684931506849316,-0.27824858757062143,0.10063474235926759
0.6461668308474984,0.9393370796251977,1.0182648401826484,-0.2665745856353591,0.09796270718232047
0.620300008248891,0.9420061241709625,0.9876676568548024,-0.32258064516129037,0.04576850094876658
0.6307479854953826,0.9323006015993077,1.0283095382159455,-0.27004219409282704,0.10250859416498789
0.5686724967042486,0.9650015956017016,1.0477745366943851,-0.15458276333789334,0.2134628762385959
0.612834656142373,0.9452741904499526,0.960200983227299,-0.30715287517531553,0.05075048548926531
0.6045777565173637,0.9674314623026987,0.9429496014861869,-0.3419972640218878,0.027114575536225927
0.5738289228335549,0.9867804779001769,1.0019703482462765,-0.4176300578034682,-0.04421106850569448
0.6188906524101535,0.9388933137544293,0.9873281699849965,-0.25138121546961323,0.10939292448476379
0.5953629429315834,0.9522163413052357,0.9822473663675381,-0.3482517482517482,0.017992352475111106
0.6243402198801331,0.9410645164905513,0.9118850193477058,-0.2582417582417582,0.08599539994888833
0.6034752028869166,0.944493377713284,1.1020826146947222,-0.39002932551319647,0.003549930544837182
0.6338914576478665,0.9307990141123098,0.943242361639665,-0.2900262467191601,0.08725232286467624
0.5815642111344899,0.9866549775170594,0.9700742549079443,-0.41216216216216217,-0.029822088275325703
0.6407768468891445,0.9260923052314692,1.0115306315884909,-0.2145922746781116,0.13598014627952612
0.568285935485329,1.0035185915435274,1.0492233873136025,-0.42040816326530617,-0.018992680207474938
0.6045835231235112,0.9626475758480296,1.0475141468518951,-0.32157968970380824,0.06077413619074992
0.6139715014577455,0.9359831010152078,1.031551063088184,-0.3165467625899281,0.05136517292190343
0.6019957709876216,0.9343782861881544,1.0365164620535714,-0.29085872576177285,0.08580550394720074
0.6376890990117162,0.9252693485987133,0.9450489326954327,-0.23977433004231308,0.10326319297407019
0.6154434846221525,0.9477488870729928,1.0983840147208002,-0.31977559607293127,0.07618968380372806
0.6001714694597458,0.945991212073987,1.039301310043668,-0.2833562585969739,0.09641710879675114
0.6456447316337688,0.9391425286851665,0.9131935085753194,-0.1301939058171745,0.18672786460966095
0.623110459946721,0.9259746513546878,0.9961982849169895,-0.22696011004126548,0.1382846508617202
0.6197146291462401,0.9399734989395219,1.0298316130739713,-0.28260869565217395,0.09983040394696266
0.5659856191429962,0.9746847254602959,1.0688485796607818,-0.38181818181818183,0.006427470834250493
