model,Acc_mean,Acc_std,Acc_ci,DI_mean,DI_std,DI_ci,EOD_mean,EOD_std,EOD_ci,AOD_mean,AOD_std,AOD_ci,n
DL,0.74266,0.024173577463618368,0.0029965877079983698,1.51852243906728,0.767675521215734,0.09516204351914644,0.1052979278848844,0.08461244934426301,0.010488667886672872,0.06821715737536999,0.051128866251806036,0.006337999924282669,250
Debiased-HITL,0.74182,0.024338385897845673,0.0030170175731651224,1.3769804450882077,0.8598639911566968,0.10658984464870727,0.08623635292243988,0.07356507576211246,0.009119221269524,0.05159032402607953,0.041492295732659355,0.005143438266687947,250
FE-HITL,0.7395,0.024007403476568455,0.002975988567149955,1.0726462277915059,0.3324163265870401,0.04120675475890416,0.06351506815941599,0.05800134621280281,0.007189921366426779,0.029055761142780936,0.027899156409495147,0.0034584152588105657,250
