fold,seed,model,Acc,DI,EOD,AOD
0,42,DL,0.78,1.5967016491754122,0.15000000000000002,0.09331785345717235
0,42,Debiased-HITL,0.78,1.5967016491754122,0.15000000000000002,0.09331785345717235
0,42,FE-HITL,0.78,1.5967016491754122,0.15000000000000002,0.09331785345717235
0,43,DL,0.76,2.190562613430127,0.22500000000000003,0.16203560371517028
0,43,Debiased-HITL,0.76,1.9328493647912888,0.175,0.12387770897832817
0,43,FE-HITL,0.735,1.030852994555354,0.125,0.039280185758513934
0,44,DL,0.75,3.060344827586207,0.175,0.12207172342621259
0,44,Debiased-HITL,0.745,0.918103448275862,0.024999999999999994,0.017401960784313723
0,44,FE-HITL,0.745,0.918103448275862,0.024999999999999994,0.017401960784313723
0,45,DL,0.74,1.9586206896551723,0.2,0.13973168214654283
0,45,Debiased-HITL,0.75,1.7137931034482758,0.2,0.11341589267285862
0,45,FE-HITL,0.755,1.1017241379310345,0.10000000000000003,0.023942208462332318
0,46,DL,0.785,1.9160419790104948,0.25,0.15647574819401444
0,46,Debiased-HITL,0.78,1.8095952023988005,0.19999999999999996,0.13147574819401442
0,46,FE-HITL,0.78,0.9580209895052474,0.0,0.021155830753353977
0,47,DL,0.745,0.6120689655172414,0.07500000000000001,0.052205882352941185
0,47,Debiased-HITL,0.745,1.0201149425287357,0.024999999999999994,0.014047987616099069
0,47,FE-HITL,0.745,1.0201149425287357,0.024999999999999994,0.014047987616099069
0,48,DL,0.76,1.9042145593869733,0.2,0.12321981424148606
0,48,Debiased-HITL,0.76,1.9042145593869733,0.2,0.12321981424148606
0,48,FE-HITL,0.745,0.9521072796934866,0.04999999999999999,0.028095975232198138
0,49,DL,0.76,1.440162271805274,0.22499999999999998,0.11791795665634673
0,49,Debiased-HITL,0.76,1.440162271805274,0.22499999999999998,0.11791795665634673
0,49,FE-HITL,0.755,1.2241379310344827,0.125,0.05476006191950464
0,50,DL,0.75,2.203448275862069,0.22500000000000003,0.17029153766769867
0,50,Debiased-HITL,0.75,1.7137931034482758,0.125,0.09397574819401444
0,50,FE-HITL,0.745,0.8568965517241379,0.07500000000000001,0.04549793601651188
0,51,DL,0.765,1.6007957559681696,0.19999999999999996,0.11676986584107324
0,51,Debiased-HITL,0.765,1.6007957559681696,0.19999999999999996,0.11676986584107324
0,51,FE-HITL,0.765,1.0358090185676392,0.04999999999999999,0.0022961816305469493
0,52,DL,0.745,1.8135376756066413,0.35,0.1902218782249742
0,52,Debiased-HITL,0.745,1.8135376756066413,0.35,0.1902218782249742
0,52,FE-HITL,0.76,1.1787994891443168,0.25,0.07443240454076368
0,53,DL,0.775,1.7627586206896553,0.175,0.12723168214654282
0,53,Debiased-HITL,0.77,1.4689655172413796,0.07500000000000001,0.06407378740970072
0,53,FE-HITL,0.76,1.0772413793103448,0.07500000000000001,0.02408410732714139
0,54,DL,0.785,1.6884661117717004,0.22499999999999998,0.14242776057791537
0,54,Debiased-HITL,0.78,1.6040428061831153,0.17500000000000004,0.1174277605779154
0,54,FE-HITL,0.775,0.8442330558858502,0.07499999999999996,0.06020381836945302
0,55,DL,0.705,1.0,0.05,0.025
0,55,Debiased-HITL,0.705,1.0,0.05,0.025
0,55,FE-HITL,0.705,1.0,0.05,0.025
0,56,DL,0.755,1.4902548725637181,0.07500000000000001,0.06407378740970072
0,56,Debiased-HITL,0.75,1.383808095952024,0.025000000000000022,0.03907378740970073
0,56,FE-HITL,0.745,0.8515742128935532,0.125,0.06224200206398349
0,57,DL,0.73,2.4482758620689657,0.15,0.07835397316821466
0,57,Debiased-HITL,0.72,0.8160919540229885,0.0,0.00980392156862745
0,57,FE-HITL,0.72,0.8160919540229885,0.0,0.00980392156862745
0,58,DL,0.765,2.273399014778325,0.175,0.12542569659442723
0,58,Debiased-HITL,0.76,2.098522167487685,0.125,0.10042569659442724
0,58,FE-HITL,0.755,1.2241379310344829,0.025000000000000022,0.0008900928792569783
0,59,DL,0.755,1.566896551724138,0.025000000000000022,0.06538957688338494
0,59,Debiased-HITL,0.76,1.4689655172413796,0.025000000000000022,0.052231682146542835
0,59,FE-HITL,0.77,1.0772413793103448,0.024999999999999967,0.012242002063983473
