model,Acc_mean,Acc_std,Acc_ci,DI_mean,DI_std,DI_ci,EOD_mean,EOD_std,EOD_ci,AOD_mean,AOD_std,AOD_ci,n
DL,0.7328,0.02316616502173071,0.006421333333333335,1.35080852774214,0.5433348769935753,0.1506047441831078,0.08830055655320251,0.07900331230327888,0.021898600923412066,0.06165695478886761,0.053492360621873736,0.014827325887462038,50
Debiased-HITL,0.7332666666666667,0.021722742714040722,0.006021237082194989,1.3839493220742343,0.6000442956982566,0.16632379307621292,0.07091873645769901,0.06617772129357927,0.018343528472144002,0.04812896772896278,0.04420962777070931,0.012254283615437456,50
FE-HITL,0.7306666666666666,0.022049213148171876,0.0061117300696647645,1.0458917235222926,0.34512011966513945,0.09566241656014007,0.06112138110861306,0.0456165300892517,0.012644257042041545,0.03145749403626712,0.03541460704959252,0.00981642824874692,50
LR,0.7456,0.02183674740924035,0.006052837571475603,1.4942533820465869,0.33800655646666544,0.0936906374399324,0.1311297491610259,0.08986046247002566,0.024908049410260844,0.09132608188677187,0.06205603850235512,0.017201056290326807,50
