fold,seed,model,R2,RMSE,DI,EOD,AOD
0,42,DL,0.7340685200058605,2.0398240761404285,0.6471245114461194,0.13227334235453314,0.07546214099547069
0,42,Debiased-HITL,0.7270159408794847,2.066695442643315,0.6844618927973198,0.09645387248268722,0.060357519643655155
0,42,FE-HITL,0.6928298967738342,2.1922865026549525,0.9135950586264656,0.026095147125155926,0.06834701560555903
0,43,DL,0.7333976932971952,2.042395239606861,0.6229880812637114,0.1344689431929741,0.08795858944191455
0,43,Debiased-HITL,0.7308027979507363,2.0523106982014956,0.6913756492902222,0.10270901323993731,0.055435716957502004
0,43,FE-HITL,0.7018271804596685,2.1599408801755158,0.9050196267532951,0.010036084799278311,0.06327779898322541
0,44,DL,0.7419900904154496,2.0092132406215093,0.612521829003172,0.16607630873729728,0.09646591119749073
0,44,Debiased-HITL,0.7385679463677863,2.022494062966273,0.6163613767763549,0.16977765395738809,0.08707313673681047
0,44,FE-HITL,0.7274544422463314,2.065034882307504,0.8470848867995893,0.00669293427790596,0.04441915483630729
0,45,DL,0.7407192376458162,2.014155449359744,0.5734204355108878,0.1963304943086842,0.1199796038176365
0,45,Debiased-HITL,0.7390157478437,2.020761176783001,0.652100987511283,0.12905622330122846,0.06985476176251221
0,45,FE-HITL,0.7169325318522146,2.1045188421284045,0.8915197075637346,0.0032967178752421056,0.058662675746842655
0,46,DL,0.7414458930808818,2.0113310517974945,0.6208939899851526,0.15948950622197455,0.09114723326059335
0,46,Debiased-HITL,0.7362868180719291,2.0312985460127986,0.6727690741288139,0.11756746000159202,0.06372141969085396
0,46,FE-HITL,0.7091156817309805,2.1333788861709935,0.9093134517905431,0.02949136352781978,0.06960442973288503
0,47,DL,0.7404831124004556,2.0150723795531165,0.6412190882729057,0.1361537849239831,0.07594807183597604
0,47,Debiased-HITL,0.7261843072239894,2.0698410960385467,0.6915458422620167,0.09070949083286906,0.05546005213951004
0,47,FE-HITL,0.6965195668320981,2.1790800559596457,0.887874534768606,0.012231685637719147,0.054534709123773895
0,48,DL,0.7378003226941667,2.0254611367004065,0.6266890005583474,0.14511528562710607,0.08523238759420236
0,48,Debiased-HITL,0.7127479896814741,2.1200171616238186,0.7167327117564329,0.08902464910185992,0.04937337179333469
0,48,FE-HITL,0.6805609711420267,2.235639769549022,0.8909187492749288,0.023720448937355698,0.05534523320591689
0,49,DL,0.7409612956267401,2.013215047458384,0.6181209868788387,0.15458754543766084,0.0957071207675137
0,49,Debiased-HITL,0.741136282276279,2.0125349458665958,0.6572539825091808,0.12668152511342823,0.065655364475841
0,49,FE-HITL,0.7261763210671073,2.0698712804940436,0.8688577037072585,0.005671416063042334,0.050139426723081304
