Exp,variant,seed,R2,RMSE,DI,EOD,AOD
Ablation,Full,42,0.7074845905950169,2.0774245114150385,0.8652065527065528,0.010173832378801317,0.010525735719155258
Ablation,w/o HED,42,0.7282818914200703,2.0022124997893385,0.6814458689458689,0.10395660240380744,0.09407469293975476
Ablation,w/o MOG,42,0.7250846104564741,2.013957970256857,0.7312143874643875,0.06047834153424225,0.06353274560356371
Ablation,w/o F&U,42,0.7074845905950169,2.0774245114150385,0.8652065527065528,0.010173832378801317,0.010525735719155258
Ablation,Full,43,0.7214118420879735,2.1050390945608974,0.8578182625390902,0.04157890777794504,0.034399797123347634
Ablation,w/o HED,43,0.7263509010513685,2.086295644039281,0.6231321341085845,0.12689935309162026,0.09857579540529782
Ablation,w/o MOG,43,0.729756951734833,2.073271155342758,0.6676415722591976,0.0779863096133594,0.07050916536291829
Ablation,w/o F&U,43,0.7214118420879735,2.1050390945608974,0.8578182625390902,0.04157890777794504,0.034399797123347634
Ablation,Full,44,0.7041855284801821,2.1303669513578454,0.8481810068770014,0.038007087611256374,0.001466974656692016
Ablation,w/o HED,44,0.721504151547527,2.067064701905287,0.6143367105884824,0.2037824886807751,0.13904217519145137
Ablation,w/o MOG,44,0.7226482330687374,2.062814505125574,0.6777521129718095,0.13426377210323504,0.09842344190268135
Ablation,w/o F&U,44,0.7041855284801821,2.1303669513578454,0.8481810068770014,0.038007087611256374,0.001466974656692016
Ablation,Full,45,0.7090370524364508,2.1261361450540006,0.8199356913183279,0.003072548402179409,0.01325224990420458
Ablation,w/o HED,45,0.7428301876497143,1.9988592803407157,0.6422829581993569,0.11909464784969326,0.09659826470249548
Ablation,w/o MOG,45,0.7384751722114975,2.015712965427832,0.6730305466237941,0.10804492409278721,0.07936771720531337
Ablation,w/o F&U,45,0.7090370524364508,2.1261361450540006,0.8199356913183279,0.003072548402179409,0.01325224990420458
Ablation,Full,46,0.7147899819861989,2.121745847644477,0.868608522229034,0.03790781142880195,0.0035231721171173763
Ablation,w/o HED,46,0.7297276864038589,2.0654360483044734,0.672865756656294,0.13735532524095662,0.10217073404269131
Ablation,w/o MOG,46,0.7276801827461186,2.073244855301063,0.7218014480494789,0.1152558777271444,0.07619563715145684
Ablation,w/o F&U,46,0.7147899819861989,2.121745847644477,0.868608522229034,0.03790781142880195,0.0035231721171173763
Ablation,Full,47,0.7064236452615713,2.0986233466164435,0.8819554641694418,0.013533834586466176,0.03705999177521928
Ablation,w/o HED,47,0.751862049323287,1.9293923788215923,0.5748459721818683,0.16503759398496243,0.1394984497832223
Ablation,w/o MOG,47,0.748708077514519,1.9416154876787126,0.6654038993064092,0.08765664160400999,0.08262615541092791
Ablation,w/o F&U,47,0.7064236452615713,2.0986233466164435,0.8819554641694418,0.013533834586466176,0.03705999177521928
Ablation,Full,48,0.6769339494993631,2.2432880909768986,0.888842026496148,0.020205409802725338,0.06677682868958043
Ablation,w/o HED,48,0.7293228432435508,2.0533604488851527,0.6348871617829629,0.12524913565182016,0.08648735678937018
Ablation,w/o MOG,48,0.7214831781770958,2.0828841010469765,0.7124844815564361,0.08282489322757769,0.04010745034234961
Ablation,w/o F&U,48,0.6769339494993631,2.2432880909768986,0.888842026496148,0.020205409802725338,0.06677682868958043
Ablation,Full,49,0.7005013350845584,2.1638084352240288,0.9211414808283692,0.0030679493977728844,0.07167025289437516
Ablation,w/o HED,49,0.7418347479528898,2.00895522731811,0.6280510096557063,0.15390879478827357,0.1008030816046631
Ablation,w/o MOG,49,0.7378967581037685,2.0242192957843823,0.7308229930539127,0.09576925990455265,0.03977842694475753
Ablation,w/o F&U,49,0.7005013350845584,2.1638084352240288,0.9211414808283692,0.0030679493977728844,0.07167025289437516
Ablation,Full,50,0.7371341316575082,2.071923018798977,0.8420901850684696,0.025577880512090978,0.04364374119281364
Ablation,w/o HED,50,0.7402933418819553,2.0594348505375564,0.6206955824213602,0.13117887624466573,0.08294892289985042
Ablation,w/o MOG,50,0.7450390877851354,2.0405315685209198,0.668137282988598,0.10955725462304411,0.05785239780332534
Ablation,w/o F&U,50,0.7371341316575082,2.071923018798977,0.8420901850684696,0.025577880512090978,0.04364374119281364
Ablation,Full,51,0.718878449082966,2.089136930070385,0.8946422934111032,0.0023529411764705577,0.035948997576558714
Ablation,w/o HED,51,0.7379386451531103,2.017071658222532,0.7236662106703146,0.10521008403361343,0.062296053252761774
Ablation,w/o MOG,51,0.734636599852166,2.029739707334834,0.7912614061724869,0.05378151260504194,0.021600494130236333
