Exp,ratio,seed,model,R2,RMSE,DI,EOD,AOD
IntervSens,0.1,42,DL,0.7339830962137703,1.9810958768142408,0.686039886039886,0.1158949745906267,0.08429522891746002
IntervSens,0.1,42,FE-HITL,0.7251520429882762,2.0137109585964255,0.6967592592592593,0.09852181979511176,0.08607561149456185
IntervSens,0.1,43,DL,0.7336097445550944,2.0584390266288013,0.6502102009866968,0.1046712802768166,0.08421579393998548
IntervSens,0.1,43,FE-HITL,0.7235517642546234,2.096938779774947,0.639317384345171,0.1160297878742289,0.08953090449335305
IntervSens,0.1,44,DL,0.7282787193822127,2.041768665182814,0.623478566648139,0.18821343002122637,0.13232147564891106
IntervSens,0.1,44,FE-HITL,0.7189213445172695,2.076627695557071,0.642080949131188,0.19308730151499964,0.12392895660856365
IntervSens,0.1,45,DL,0.7503979484569517,1.9692293598738808,0.6521551724137932,0.1087224114733919,0.07709761356627148
IntervSens,0.1,45,FE-HITL,0.7382664262024681,2.016517264029465,0.6593649517684887,0.11356978597124023,0.08714687055256663
IntervSens,0.1,46,DL,0.7342079291756273,2.048245376942295,0.6736605531012044,0.15043150381094494,0.09665799397544073
IntervSens,0.1,46,FE-HITL,0.7284595150556039,2.0702760953120736,0.6891776537873555,0.13735532524095662,0.09470804747552712
IntervSens,0.1,47,DL,0.7532531804085412,1.9239764193601978,0.6124078254326561,0.12230576441102758,0.11244278326954217
IntervSens,0.1,47,FE-HITL,0.7498214826980342,1.9373093312437932,0.6063443816164912,0.1412280701754386,0.12032096060573311
IntervSens,0.1,48,DL,0.7392507651912046,2.0153520009691994,0.6560856949625847,0.11322961155175926,0.059434054280650656
IntervSens,0.1,48,FE-HITL,0.7228267616621062,2.0778540423631253,0.652522916276934,0.11312792353060808,0.07539319368178427
IntervSens,0.1,49,DL,0.7455891186495411,1.994294104230412,0.6439890410958904,0.14902280130293155,0.08643574275672894
IntervSens,0.1,49,FE-HITL,0.7368769037317231,2.028153632129462,0.6623083374551084,0.14228088781152937,0.08183123337944889
IntervSens,0.1,50,DL,0.752989194133646,2.008466036492822,0.622934375164986,0.14808854907539115,0.0981953284018642
