Exp,bias,seed,model,R2,RMSE,DI,EOD,AOD
BiasSens,0.1,42,LR,0.7414023588774168,1.9617571240347964,0.9343013077952836,0.011456540447504326,0.02829227832837549
BiasSens,0.1,42,DL,0.7370560300397955,1.9781743520712787,0.9355089355089355,0.018377079747561642,0.027830708474505327
BiasSens,0.1,42,Debiased-HITL,0.7292020279482738,2.0075005028831083,0.9642195573754508,0.0022948938611589975,0.015038894097031269
BiasSens,0.1,42,FE-HITL,0.7292020279482738,2.0075005028831083,0.9642195573754508,0.0022948938611589975,0.015038894097031269
BiasSens,0.1,43,LR,0.7444742070764658,2.0288032433019016,0.8607671434631917,0.0092592592592593,0.03577355012367897
BiasSens,0.1,43,DL,0.7361937692562661,2.0614133418498968,0.85760255837693,0.012037037037037068,0.038127634710085345
BiasSens,0.1,43,Debiased-HITL,0.7359206529705775,2.0624801474183383,0.8725705984198691,0.011111111111111183,0.03054021875951453
BiasSens,0.1,43,FE-HITL,0.7359206529705775,2.0624801474183383,0.8725705984198691,0.011111111111111183,0.03054021875951453
BiasSens,0.1,44,LR,0.7327822328893234,2.0361330964397455,0.8426250177943181,0.06571590069133448,0.05686791801808104
BiasSens,0.1,44,DL,0.7222938379585916,2.075707985529629,0.8421192404727127,0.06525501108743859,0.055862958129926185
BiasSens,0.1,44,Debiased-HITL,0.7257280786899615,2.0628334841164095,0.8493300474247727,0.07075959824340183,0.05235178188032161
BiasSens,0.1,44,FE-HITL,0.7257280786899615,2.0628334841164095,0.8493300474247727,0.07075959824340183,0.05235178188032161
BiasSens,0.1,45,LR,0.7530434153615317,1.9633552143487945,0.8492173112338859,0.01713947003723426,0.030475681610756186
BiasSens,0.1,45,DL,0.7489741368481221,1.9794649197928254,0.8636578449905482,0.013274114641599,0.02122082818072099
BiasSens,0.1,45,Debiased-HITL,0.7040426329016523,2.1493302574749915,0.8663723916532905,0.023726436359386205,0.03466979642560189
BiasSens,0.1,45,FE-HITL,0.7040426329016523,2.1493302574749915,0.8663723916532905,0.023726436359386205,0.03466979642560189
BiasSens,0.1,46,LR,0.7390958498811595,2.0351921199405822,0.9291555449769632,0.07206116597642553,0.03161462857225836
BiasSens,0.1,46,DL,0.7304755082453257,2.068540539347599,0.9363028953229398,0.06667273471988344,0.028350612374186734
BiasSens,0.1,46,Debiased-HITL,0.7381917452384179,2.0387153206064355,0.9075488716661892,0.07206116597642553,0.04165736361499339
BiasSens,0.1,46,FE-HITL,0.7381917452384179,2.0387153206064355,0.9075488716661892,0.07206116597642553,0.04165736361499339
BiasSens,0.1,47,LR,0.7607205777966454,1.8981193532235419,0.7864484154507737,0.08689939407688896,0.06571361198528626
BiasSens,0.1,47,DL,0.7563121319663858,1.9155248737764579,0.7879156699572116,0.07674710981292954,0.06374097204217458
BiasSens,0.1,47,Debiased-HITL,0.7376479521577088,1.9875271543699822,0.8101882902114383,0.0613674389586818,0.06232068007971614
BiasSens,0.1,47,FE-HITL,0.7376479521577088,1.9875271543699822,0.8101882902114383,0.0613674389586818,0.06232068007971614
BiasSens,0.1,48,LR,0.7468755836119015,1.9849524095826152,0.821510775488326,0.08663014810306346,0.0405911056246131
BiasSens,0.1,48,DL,0.7410373955947129,2.007712885073099,0.821102805423479,0.07898830053425299,0.04084989638495164
BiasSens,0.1,48,Debiased-HITL,0.7388873875054149,2.016030063598754,0.823084965923574,0.07964766348819907,0.04374551453277781
BiasSens,0.1,48,FE-HITL,0.7388873875054149,2.016030063598754,0.823084965923574,0.07964766348819907,0.04374551453277781
BiasSens,0.1,49,LR,0.7479382012274174,1.9804176354857463,0.8759234024241556,0.061861211118125814,0.021042167425188676
BiasSens,0.1,49,DL,0.7412058000073688,2.0066911664075713,0.8490678008011473,0.0778490623986896,0.03372676243666732
BiasSens,0.1,49,Debiased-HITL,0.7431440239690597,1.9991625458062205,0.8783817778489262,0.06704830481000568,0.022875065183907514
BiasSens,0.1,49,FE-HITL,0.7431440239690597,1.9991625458062205,0.8783817778489262,0.06704830481000568,0.022875065183907514
BiasSens,0.1,50,LR,0.7560845358470101,1.998373587392597,0.8237860176787969,0.04463023448544834,0.044685732069379834
BiasSens,0.1,50,DL,0.7526294425440605,2.0124774242772365,0.8341687798549272,0.05043955865386185,0.03710121420893302
BiasSens,0.1,50,Debiased-HITL,0.7346722205702587,2.0842431100213203,0.8268474248017914,0.051146427468759637,0.040544251394016455
BiasSens,0.1,50,FE-HITL,0.7346722205702587,2.0842431100213203,0.8268474248017914,0.051146427468759637,0.040544251394016455
BiasSens,0.1,51,LR,0.7560178722277923,1.956655739685166,0.9824745053015467,0.012885681785866576,0.018816991564956295
BiasSens,0.1,51,DL,0.7457235295191909,1.9975078799263626,0.9583103896829386,0.0044877719323189735,0.004575535746879245
BiasSens,0.1,51,Debiased-HITL,0.7402698909169056,2.0188151859573376,0.9608374227264037,0.00401677804635292,0.005926456771031444
BiasSens,0.1,51,FE-HITL,0.7402698909169056,2.0188151859573376,0.9608374227264037,0.00401677804635292,0.005926456771031444
BiasSens,0.1,52,LR,0.7311727013705784,2.012554799735668,0.959747119078105,0.0024875621890546595,0.0022747374239911883
BiasSens,0.1,52,DL,0.72479957518587,2.036271020517416,0.9765258215962441,0.007518586841075536,0.0051295954683511225
BiasSens,0.1,52,Debiased-HITL,0.7273265466511177,2.026900639978316,0.9564585959335782,0.001201855889093828,0.003378705722324696
BiasSens,0.1,52,FE-HITL,0.7273265466511177,2.026900639978316,0.9564585959335782,0.001201855889093828,0.003378705722324696
BiasSens,0.1,53,LR,0.7486462300492308,1.9967190938064459,0.8207712099221532,0.04171249603847793,0.054724399985320936
BiasSens,0.1,53,DL,0.7418325409938232,2.02360162441645,0.8459119496855345,0.03601722562964904,0.039186599347370864
BiasSens,0.1,53,Debiased-HITL,0.7335116153581899,2.055954084578299,0.8459119496855345,0.028140787830204572,0.04862023180686385
BiasSens,0.1,53,FE-HITL,0.7335116153581899,2.055954084578299,0.8459119496855345,0.028140787830204572,0.04862023180686385
BiasSens,0.1,54,LR,0.7366961309090619,2.0422254678339686,0.8313451254627725,0.05010086191087482,0.030554316800768033
BiasSens,0.1,54,DL,0.731231167796063,2.0633101735084196,0.822608695652174,0.04832202457362922,0.03491822127309736
BiasSens,0.1,54,Debiased-HITL,0.7153120553684865,2.123535892145194,0.8431372549019608,0.04164679992664588,0.01900151182470656
BiasSens,0.1,54,FE-HITL,0.7153120553684865,2.123535892145194,0.8431372549019608,0.04164679992664588,0.01900151182470656
BiasSens,0.1,55,LR,0.7272245529894121,2.061162380587595,0.9060930157186841,0.014545581998527957,0.012205056801095002
BiasSens,0.1,55,DL,0.719458148286582,2.0902989328940076,0.892096275817206,0.01883915740773201,0.019613491071691413
BiasSens,0.1,55,Debiased-HITL,0.7198005429172867,2.0890229634868644,0.9023297491039426,0.010374680172444029,0.014232642609785406
BiasSens,0.1,55,FE-HITL,0.7198005429172867,2.0890229634868644,0.9023297491039426,0.010374680172444029,0.014232642609785406
BiasSens,0.1,56,LR,0.7355590627663868,2.0335018313310744,0.8970849294590302,0.01895368782161233,0.0053456963698225585
BiasSens,0.1,56,DL,0.7304505411172778,2.0530496683677804,0.8822113666150364,0.015660377358490574,0.011600680482523967
BiasSens,0.1,56,Debiased-HITL,0.7222059081107662,2.0842112053729953,0.8894276455252065,0.016003430531732477,0.006600075921603943
BiasSens,0.1,56,FE-HITL,0.7222059081107662,2.0842112053729953,0.8894276455252065,0.016003430531732477,0.006600075921603943
BiasSens,0.1,57,LR,0.7625894896407125,1.9736000651172296,0.8445276223359924,0.033524531725970586,0.05766655861456868
BiasSens,0.1,57,DL,0.7544201568407302,2.0072688214549808,0.8498550206101807,0.03893641843282136,0.054927392889880064
BiasSens,0.1,57,Debiased-HITL,0.7583653039295446,1.9910805372025613,0.8586445387078323,0.022716961565882432,0.049993245033469004
BiasSens,0.1,57,FE-HITL,0.7583653039295446,1.9910805372025613,0.8586445387078323,0.022716961565882432,0.049993245033469004
BiasSens,0.1,58,LR,0.7673226309751013,1.9540924326820814,0.9183511087178415,0.011017442856653292,0.017234896614558334
BiasSens,0.1,58,DL,0.7603415504127768,1.9831903631711136,0.9096766013424094,0.010751859086391868,0.022226687313552984
BiasSens,0.1,58,Debiased-HITL,0.7631704197936179,1.9714510728310115,0.931566021495187,0.007881840923888883,0.010855039821478646
BiasSens,0.1,58,FE-HITL,0.7631704197936179,1.9714510728310115,0.931566021495187,0.007881840923888883,0.010855039821478646
BiasSens,0.1,59,LR,0.722160066138762,2.0273949009964536,0.8268131868131868,0.09281374397653464,0.08727676173083772
BiasSens,0.1,59,DL,0.7126981279355376,2.0616277171186734,0.8370390829995858,0.08899015294364132,0.0829634798890708
BiasSens,0.1,59,Debiased-HITL,0.7042359276483198,2.091769012734879,0.8432115551791007,0.06814372512046929,0.06993595141522868
BiasSens,0.1,59,FE-HITL,0.7042359276483198,2.091769012734879,0.8432115551791007,0.06814372512046929,0.06993595141522868
BiasSens,0.1,60,LR,0.7379519231589291,1.9933066643096742,0.8756708407871198,0.015587529976019199,0.03135119371607978
BiasSens,0.1,60,DL,0.7254614939703778,2.0402588171877336,0.8781117182756527,0.025215122020030956,0.030562604869664597
BiasSens,0.1,60,Debiased-HITL,0.7357192032996973,2.0017804065075606,0.8813626460685284,0.013788968824939962,0.02899563572825946
BiasSens,0.1,60,FE-HITL,0.7357192032996973,2.0017804065075606,0.8813626460685284,0.013788968824939962,0.02899563572825946
BiasSens,0.1,61,LR,0.7354276845903873,1.9982738560710998,0.938921068557102,0.0732908308713005,0.03766494846326954
BiasSens,0.1,61,DL,0.7292765053818476,2.0213698382773315,0.9556791371755984,0.04683045664230545,0.0299218618493496
BiasSens,0.1,61,Debiased-HITL,0.7262845298518528,2.032509009679452,0.9762075134168158,0.05151263843535647,0.018348295974075488
BiasSens,0.1,61,FE-HITL,0.7262845298518528,2.032509009679452,0.9762075134168158,0.05151263843535647,0.018348295974075488
BiasSens,0.1,62,LR,0.7469444612067009,1.9762950217217232,0.7840928611745074,0.06657724329324699,0.05525183263246735
BiasSens,0.1,62,DL,0.7425262803177759,1.9934727645063157,0.7907680391160167,0.08233117483811281,0.0544825324050698
BiasSens,0.1,62,Debiased-HITL,0.7288354372761603,2.045786551783344,0.7941961090506865,0.06186864014801108,0.04434027073942895
BiasSens,0.1,62,FE-HITL,0.7287341975072634,2.046168415157301,0.7895243672327413,0.06718778908418133,0.046999845207514074
BiasSens,0.1,63,LR,0.749938063437957,2.0252914055014237,0.8938969764837627,0.05337581672985403,0.03037935439344025
BiasSens,0.1,63,DL,0.7442870674044997,2.048047717698308,0.8943210262828535,0.05644914092119058,0.031729322666976825
BiasSens,0.1,63,Debiased-HITL,0.7317849249493289,2.0975161651581713,0.8916788698423637,0.047398564168750434,0.02864242532945329
BiasSens,0.1,63,FE-HITL,0.7317849249493289,2.0975161651581713,0.8916788698423637,0.047398564168750434,0.02864242532945329
BiasSens,0.1,64,LR,0.7363329985046914,1.9914018590549238,0.8126623689021456,0.041171569337777214,0.03732961358914921
BiasSens,0.1,64,DL,0.730109232375845,2.014767943820107,0.823777320395962,0.04939501521518619,0.031775148799312786
BiasSens,0.1,64,Debiased-HITL,0.7113341943569564,2.0836688009671955,0.8142159522517635,0.03225981741776551,0.026734967207753833
BiasSens,0.1,64,FE-HITL,0.7113341943569564,2.0836688009671955,0.8142159522517635,0.03225981741776551,0.026734967207753833
BiasSens,0.1,65,LR,0.7655175564257782,1.9643588310120437,0.8267594740912607,0.02308127639197255,0.026035694693161415
BiasSens,0.1,65,DL,0.7553322874436831,2.0065684935431327,0.831021120864927,0.03167472029950802,0.02199908331359582
BiasSens,0.1,65,Debiased-HITL,0.7508669649421685,2.0247962013639462,0.840094304318539,0.040024378564276764,0.02474382770021749
BiasSens,0.1,65,FE-HITL,0.7508669649421685,2.0247962013639462,0.840094304318539,0.040024378564276764,0.02474382770021749
BiasSens,0.1,66,LR,0.7267646761125387,2.024343135328088,0.8246977439077977,0.04876712328767119,0.03819685576253757
BiasSens,0.1,66,DL,0.7214295080420254,2.044011160381771,0.8336781186145978,0.05534246575342461,0.03301093858764188
BiasSens,0.1,66,Debiased-HITL,0.7204100390360642,2.0477479219361316,0.8352613928822108,0.03808219178082195,0.03093101994195191
BiasSens,0.1,66,FE-HITL,0.7204100390360642,2.0477479219361316,0.8352613928822108,0.03808219178082195,0.03093101994195191
BiasSens,0.1,67,LR,0.7496012039004318,1.9603448850331684,0.8072858329333058,0.04909479709306064,0.048569265357770945
BiasSens,0.1,67,DL,0.7394056745936779,1.9998565410929532,0.8320758823985154,0.04401408450704225,0.03894930302879898
BiasSens,0.1,67,Debiased-HITL,0.7430418525598894,1.9858551242846696,0.8158448716175035,0.04909479709306064,0.04779218033021153
BiasSens,0.1,67,FE-HITL,0.7431229293526378,1.9855418058155445,0.823689533844595,0.039705125731558266,0.04309734464946034
BiasSens,0.1,68,LR,0.7457156171027698,2.0341739819203886,0.9253822629969419,0.03287252005065433,0.010708058063332249
BiasSens,0.1,68,DL,0.7435343487362074,2.042879991530946,0.8758730158730159,0.04446320529055858,0.03266756340538082
BiasSens,0.1,68,Debiased-HITL,0.7411687824868639,2.052279838012504,0.9218455743879472,0.012944983818770295,0.011111649486390013
BiasSens,0.1,68,FE-HITL,0.7411687824868639,2.052279838012504,0.9218455743879472,0.012944983818770295,0.011111649486390013
BiasSens,0.1,69,LR,0.731570355448866,2.058582682332201,0.8925189469805002,0.04682077975096954,0.023720331793218544
BiasSens,0.1,69,DL,0.7234634655309231,2.089437259125967,0.8793542397934587,0.04896407430087768,0.03180600712428483
BiasSens,0.1,69,Debiased-HITL,0.7204761829379354,2.1006925050603544,0.8966290438262053,0.051260461318636485,0.025023084162935652
BiasSens,0.1,69,FE-HITL,0.7204761829379354,2.1006925050603544,0.8966290438262053,0.051260461318636485,0.025023084162935652
BiasSens,0.1,70,LR,0.7424986377885813,2.0184201603208427,0.7992094988672698,0.06819625277865993,0.062268339155287414
BiasSens,0.1,70,DL,0.7376630422301322,2.0372838800161257,0.8076659375102027,0.055784905260929385,0.05619032497089022
BiasSens,0.1,70,Debiased-HITL,0.7101199215329039,2.1415636909536118,0.7826674951569867,0.07544723192547897,0.058298084047845866
BiasSens,0.1,70,FE-HITL,0.710722179919238,2.139337864830458,0.7972513615263715,0.06549698316926011,0.051195300095268355
BiasSens,0.1,71,LR,0.754613927299757,2.0038214747084213,0.8097420391193424,0.07696499244785193,0.03831586237907722
