variant,R2_mean,R2_std,RMSE_mean,RMSE_std,DI_mean,DI_std,EOD_mean,EOD_std,AOD_mean,AOD_std,n
Full,0.7021548247019646,0.02380415092803019,2.1518108590579694,0.08166382100979898,0.8639705957840944,0.039917295537686234,0.02520470760712023,0.018599511832478637,0.036038333599303723,0.02523749751259439,30
w/o F&U,0.7021548247019646,0.02380415092803019,2.1518108590579694,0.08166382100979898,0.8639705957840944,0.039917295537686234,0.02520470760712023,0.018599511832478637,0.036038333599303723,0.02523749751259439,30
w/o HED,0.7245102646900526,0.017883347447793258,2.069991357010094,0.06345497366581812,0.6392706514022642,0.057779156013131716,0.1262746930263507,0.04521901216734091,0.09474220921744161,0.02693458186544969,30
w/o MOG,0.723517660937669,0.01738520129081365,2.0737791557757492,0.061004718898615556,0.7040046175860273,0.04864027352640093,0.07729613256970176,0.038552048244783366,0.05558241117122089,0.022271686962864638,30
