interv_frac,seed,DI_unpriv,DI_priv,R2
0.1,42,0.6967592592592593,1.4352159468438537,0.7251520429882762
0.1,43,0.639317384345171,1.5641683215360436,0.7246545412879906
0.1,44,0.6341540238332721,1.5769039735099337,0.7213356131020506
0.1,45,0.6593649517684887,1.5166107893934777,0.7395582477836791
0.1,46,0.6891776537873555,1.451004678553533,0.727187493966603
0.1,47,0.6024070804371634,1.6600070491772867,0.7466553881355761
0.1,48,0.6701586707709053,1.492183931381008,0.724220868982756
0.1,49,0.650889228188641,1.5363597317210165,0.7369337426335496
0.1,50,0.6325560075631697,1.5808876811594201,0.7390825471679102
0.1,51,0.7395709625531787,1.3521352928024066,0.7364158787143135
0.1,52,0.6966271312083024,1.435488161745145,0.7040325833798633
0.1,53,0.6275699163045698,1.5934479553903345,0.7314880752846964
0.1,54,0.6123839009287926,1.632962588473205,0.7134654863581821
0.1,55,0.7167543200601052,1.3951781970649895,0.7164763925498119
0.1,56,0.7511633793492865,1.331268306591669,0.6783456975047024
0.25,42,0.7235576923076923,1.3820598006644518,0.7224777901128638
0.25,43,0.6797805099366376,1.4710630643017553,0.7245377964736917
0.25,44,0.6658617250249357,1.5018133081046987,0.7166721613388749
0.25,45,0.6832797427652733,1.463529411764706,0.7327348714183004
0.25,46,0.7218014480494789,1.3854225461895315,0.7246278583979112
0.25,47,0.6654038993064092,1.5028466184859461,0.7407152397657945
0.25,48,0.7089573306576419,1.4105221241910026,0.7133935883774462
0.25,49,0.6927592954990215,1.4435028248587571,0.7295957650434324
0.25,50,0.6760442330831375,1.4791931519620307,0.7397444752432767
0.25,51,0.7554757144360428,1.3236692866381454,0.7327070370598792
0.25,52,0.7061050513607964,1.4162198642720558,0.704394751535904
0.25,53,0.6628707240967018,1.5085897802512043,0.7257881206636456
0.25,54,0.6478844169246646,1.5434851863650845,0.714046851288018
0.25,55,0.736664162283997,1.3574706782253954,0.7146581683956408
0.25,56,0.7848478358223485,1.2741323277679923,0.6718909906760013
0.5,42,0.7733262108262109,1.2931153580474326,0.7174458944781723
0.5,43,0.744521510882984,1.3431445369711679,0.7240305372216975
0.5,44,0.7094598141634731,1.4095231048133487,0.711312262688409
0.5,45,0.727692926045016,1.3742060204363438,0.7227823740136924
0.5,46,0.770737139442664,1.2974592099235296,0.7230786583100339
0.5,47,0.7520245252516222,1.329743866618455,0.7330080283204747
0.5,48,0.7618645941395554,1.3125691988999606,0.6995248626504033
0.5,49,0.7536612115868475,1.3268561319408778,0.7170440626628091
0.5,50,0.707672033461296,1.4130839608128898,0.7426411684607892
0.5,51,0.807166158055351,1.2389022879864415,0.7274098921168841
0.5,52,0.7582336121995129,1.318854748603352,0.7046927702341346
0.5,53,0.7373946516578694,1.3561259194811357,0.7127421295345377
0.5,54,0.6966976264189887,1.4353429121611614,0.7129904718817008
0.5,55,0.7605559729526671,1.3148276202706708,0.7097366919804442
0.5,56,0.821900737942717,1.216691935942386,0.6578758614018329
0.75,42,0.8192663817663818,1.2206042164746795,0.7135333192300148
0.75,43,0.8011698867110371,1.248174721225732,0.7208922426563152
0.75,44,0.7649482912488844,1.3072779055004633,0.7081272407389196
0.75,45,0.7789389067524115,1.2837977296181633,0.7156857401613097
0.75,46,0.8237508051186144,1.213959359779936,0.7199484164921227
0.75,47,0.8228959464795237,1.2152204714072963,0.7234204971803371
0.75,48,0.814771857621469,1.2273374327376256,0.6884646712298332
0.75,49,0.8526268252295649,1.1728460451977403,0.7105125456818265
0.75,50,0.7630206841230733,1.3105804610648044,0.7402722408469145
0.75,51,0.8548804137039431,1.1697542533081287,0.7236246102420394
0.75,52,0.8056232129619825,1.2412750575090372,0.7086496900526261
0.75,53,0.8001516432883264,1.249763102266929,0.6997590203194548
0.75,54,0.7721362229102168,1.2951082598235764,0.7157559478154703
0.75,55,0.7963936889556723,1.2556603773584907,0.7059167098016603
0.75,56,0.869058977005004,1.1506698929067527,0.6459254450607556
1.0,42,0.8652065527065528,1.1557933731220416,0.7074845905950169
1.0,43,0.8578182625390902,1.1657480886919571,0.7214118420879735
1.0,44,0.8481810068770014,1.1789936250541562,0.7041855284801821
1.0,45,0.8199356913183279,1.219607843137255,0.7090370524364508
1.0,46,0.868608522229034,1.1512666228898925,0.7147899819861989
1.0,47,0.8819554641694418,1.1338441005541289,0.7064236452615713
1.0,48,0.888842026496148,1.1250593133428235,0.6769339494993631
1.0,49,0.9211414808283692,1.0856095624970818,0.7005013350845584
1.0,50,0.8420901850684696,1.1875212628427572,0.7371341316575082
1.0,51,0.8946422934111032,1.1177651753833229,0.718878449082966
1.0,52,0.8387959334957111,1.192185083483256,0.7105690419225998
1.0,53,0.8942871307340119,1.118209091501989,0.6898450866085017
1.0,54,0.8076367389060888,1.2381804242269359,0.7150502988858467
1.0,55,0.8401953418482344,1.1901994098184745,0.7022340891658541
1.0,56,0.9061118791253724,1.103616477211681,0.6319223101160184
