bias,model,R2_mean,R2_std,RMSE_mean,RMSE_std,DI_mean,DI_std,EOD_mean,EOD_std,AOD_mean,AOD_std,n
0.1,DL,0.7395815281494913,0.012010092596804044,2.01864923391182,0.036303835216578366,0.8770586946672237,0.056521963738364336,0.038105728167341237,0.026684088951081094,0.02925753534214725,0.018899272124776934,30
0.1,Debiased-HITL,0.7310726930903859,0.014365243959984765,2.051179572542725,0.04689967141484215,0.8690461888648755,0.05397717641267068,0.040445611485893304,0.027008680541670424,0.03198905897420369,0.017722076485158698,30
0.1,FE-HITL,0.7310847705437521,0.014333323518975247,2.051136743369653,0.046773350479942265,0.8694898957585153,0.05344632332718873,0.039978252446508274,0.026737832413019212,0.03174782882484259,0.01739279514975358,30
0.1,LR,0.7444227601537766,0.011835512535968734,1.9997874817613335,0.03673323048364579,0.8633927557972021,0.054676892517034455,0.04431652155026318,0.02664630393397283,0.03603158132207761,0.019202919688256312,30
0.2,DL,0.7377762000248372,0.01240705472180159,2.0180808346070522,0.03692928618265777,0.7585260264864981,0.056527220523284405,0.0774816533533273,0.03887819790712325,0.05996553838668805,0.024216447004732706,30
0.2,Debiased-HITL,0.7260285787084139,0.017011824029478307,2.062558068346352,0.06085812571264566,0.7652595807365928,0.04994164034193523,0.07211188669491916,0.03423630569087286,0.05562846347293183,0.01914896440527774,30
0.2,FE-HITL,0.7221772774274434,0.015945984252753714,2.0771269692794347,0.05607113992036073,0.8338674743552877,0.04223232061203547,0.039729691087156266,0.02784970532805697,0.025447845434668083,0.019539140244128325,30
0.2,LR,0.7421671045428927,0.012025595628922867,2.0011388354350923,0.03683407096760387,0.7427461481751145,0.05159032457371111,0.08907050307715486,0.03594832057941995,0.06878937280772791,0.022256879317663084,30
0.3,DL,0.7374293231428329,0.0122970228510503,2.021251526229693,0.037999331403138124,0.6543406597500172,0.042261690484678226,0.1177199169692078,0.03836876451931162,0.08573112946344581,0.024572428064448405,30
0.3,Debiased-HITL,0.7249684525890263,0.017029494765523727,2.0683499531799097,0.059705315040252865,0.6787657510434214,0.04576558187406628,0.09439654172466791,0.03678154161502201,0.07074307376265604,0.020778067405631782,30
0.3,FE-HITL,0.7021548247019646,0.02380415092803019,2.1518108590579694,0.08166382100979898,0.8639705957840944,0.039917295537686234,0.02520470760712023,0.018599511832478637,0.036038333599303723,0.02523749751259439,30
0.3,LR,0.7422036650497243,0.01215361624389001,2.0027569741914424,0.036980237382405856,0.6334553656049391,0.04345635930131749,0.13088476366991908,0.037705246404302346,0.09804068760590541,0.023052605763565118,30
0.4,DL,0.7399465572237969,0.011895499189315381,2.0224878830656228,0.03723335079780418,0.5400072505425766,0.052233976044951634,0.17786749382778405,0.04960515901316204,0.1282091104550801,0.03366206039542164,30
0.4,Debiased-HITL,0.7304248238123096,0.017793261409642273,2.0587923593466493,0.06676042579990739,0.6037515382467084,0.04491135065459799,0.1196794532861117,0.04167190498340291,0.08765100316055018,0.022123113250593244,30
0.4,FE-HITL,0.6781374926379894,0.03039957787518718,2.2486152719393773,0.10559983332239582,0.8705493666621921,0.037419759080872854,0.034318605745697735,0.01835525334548669,0.06754787473502982,0.02249933658151047,30
0.4,LR,0.7445593805073939,0.012194969920356992,2.0043807441052635,0.03721329789499042,0.5257962377649338,0.04498149627533935,0.18677895677110642,0.04259968766233014,0.13766633846862456,0.027671688414333658,30
