seed,model,Accuracy,DI,EOD,AOD
42,LR,0.7666666666666667,1.3792079207920793,0.13506493506493505,0.07258297258297258
42,DL,0.7166666666666667,1.263964132262283,0.0051948051948051965,0.03700396825396826
42,Debiased-HITL,0.7033333333333334,0.8922099757145526,0.19480519480519476,0.08572330447330445
42,FE-HITL,0.7033333333333334,0.8922099757145526,0.19480519480519476,0.08572330447330445
43,LR,0.7666666666666667,1.6319601629696694,0.2848557692307693,0.19638397409342936
43,DL,0.74,1.1918626353116835,0.13822115384615385,0.08754471114014403
43,Debiased-HITL,0.74,1.1918626353116835,0.13822115384615385,0.08754471114014403
43,FE-HITL,0.74,1.1918626353116835,0.13822115384615385,0.08754471114014403
44,LR,0.7266666666666667,1.53728949478749,0.1755057408419901,0.10885676652489117
44,DL,0.7066666666666667,1.1425287356321838,0.02460360852925092,0.018795310758131942
44,Debiased-HITL,0.7066666666666667,1.1425287356321838,0.02460360852925092,0.018795310758131942
44,FE-HITL,0.7066666666666667,1.1425287356321838,0.02460360852925092,0.018795310758131942
45,LR,0.7366666666666667,1.0939550140581067,0.010452961672473893,0.024805986696230582
45,DL,0.7233333333333334,1.2350853473043772,0.013937282229965153,0.006968641114982577
45,Debiased-HITL,0.7233333333333334,1.2350853473043772,0.013937282229965153,0.006968641114982577
45,FE-HITL,0.7233333333333334,1.2350853473043772,0.013937282229965153,0.006968641114982577
46,LR,0.7866666666666666,1.3725606150206977,0.13146551724137934,0.058336817788216325
46,DL,0.7133333333333334,1.162150253359771,0.08620689655172414,0.033815522579267634
46,Debiased-HITL,0.7133333333333334,1.162150253359771,0.08620689655172414,0.033815522579267634
46,FE-HITL,0.7133333333333334,1.162150253359771,0.08620689655172414,0.033815522579267634
47,LR,0.7566666666666667,1.2753452835733177,0.044930875576036866,0.037714704650188516
47,DL,0.7366666666666667,1.4462958215842092,0.10023041474654376,0.08559907834101382
47,Debiased-HITL,0.7133333333333334,1.056908485003845,0.14976958525345624,0.03940092165898618
47,FE-HITL,0.7133333333333334,1.056908485003845,0.14976958525345624,0.03940092165898618
48,LR,0.7633333333333333,1.4899749373433586,0.12301804264625482,0.09607665830942878
48,DL,0.7166666666666667,1.0789473684210527,0.043193001640240536,0.0037240693132709474
48,Debiased-HITL,0.7166666666666667,1.0789473684210527,0.043193001640240536,0.0037240693132709474
48,FE-HITL,0.7166666666666667,1.0789473684210527,0.043193001640240536,0.0037240693132709474
49,LR,0.7233333333333334,1.515442690459849,0.1833333333333333,0.12794784580498864
49,DL,0.7366666666666667,1.4335702569710225,0.1499999999999999,0.121485260770975
49,Debiased-HITL,0.7366666666666667,0.9808638600328048,0.050000000000000044,0.02613378684807259
49,FE-HITL,0.7366666666666667,0.9808638600328048,0.050000000000000044,0.02613378684807259
50,LR,0.7333333333333333,1.5579937304075233,0.19576719576719576,0.13455026455026453
50,DL,0.6933333333333334,1.7228607918263092,0.07936507936507942,0.1513492063492064
50,Debiased-HITL,0.6933333333333334,1.0881226053639848,0.17989417989417988,0.03661375661375661
50,FE-HITL,0.6933333333333334,1.0881226053639848,0.17989417989417988,0.03661375661375661
51,LR,0.7433333333333333,1.325072886297376,0.06896551724137934,0.05878831417624522
51,DL,0.74,1.1542857142857141,0.04849137931034486,0.004794714385231602
51,Debiased-HITL,0.74,1.1542857142857141,0.04849137931034486,0.004794714385231602
51,FE-HITL,0.74,1.1542857142857141,0.04849137931034486,0.004794714385231602
52,LR,0.7433333333333333,2.072463768115942,0.19081465281574633,0.17473398500617882
52,DL,0.7333333333333333,1.7693761814744804,0.20448332422088572,0.16627510913431787
52,Debiased-HITL,0.72,0.9829867674858224,0.1180973209404046,0.04419554131517975
52,FE-HITL,0.72,0.9829867674858224,0.1180973209404046,0.04419554131517975
53,LR,0.7466666666666667,1.606060606060606,0.12440191387559807,0.09504553171785768
53,DL,0.75,1.2281639928698753,0.054226475279106845,0.025646961979729377
53,Debiased-HITL,0.75,1.2281639928698753,0.054226475279106845,0.025646961979729377
53,FE-HITL,0.75,1.2281639928698753,0.054226475279106845,0.025646961979729377
54,LR,0.7466666666666667,2.153159340659341,0.3721198156682028,0.22914380806085877
54,DL,0.7466666666666667,1.252747252747253,0.16820276497695852,0.08296759564040669
54,Debiased-HITL,0.73,0.8873626373626374,0.04608294930875573,0.03211176943895837
54,FE-HITL,0.73,0.8873626373626374,0.04608294930875573,0.03211176943895837
55,LR,0.73,1.0957446808510638,0.12137780207763804,0.04141452462158546
55,DL,0.7066666666666667,0.9823917828319884,0.03991252050300714,0.023357620795721262
55,Debiased-HITL,0.7066666666666667,0.9823917828319884,0.03991252050300714,0.023357620795721262
55,FE-HITL,0.7066666666666667,0.9823917828319884,0.03991252050300714,0.023357620795721262
56,LR,0.7266666666666667,1.4296675191815857,0.15855658829961722,0.08889367876519322
56,DL,0.7433333333333333,1.552139037433155,0.12465828321487149,0.09402429830259243
56,Debiased-HITL,0.7166666666666667,1.0922459893048129,0.1334062329141607,0.03500795976192366
56,FE-HITL,0.7166666666666667,1.0922459893048129,0.1334062329141607,0.03500795976192366
57,LR,0.7533333333333333,2.1086587436332764,0.41826134499726625,0.2484724336145878
