model,Acc_mean,Acc_std,DI_mean,DI_std,EOD_mean,EOD_std,AOD_mean,AOD_std,n,Acc_CI95,DI_CI95,EOD_CI95,AOD_CI95
DL,0.723111111111111,0.02221340821373405,1.3505319270293368,0.27587885109145255,0.09158040386423871,0.06745252779256626,0.06927221136659392,0.0526942689976145,30,0.007948966041718682,0.09872197898917956,0.02413757707471869,0.018856401990409218
Debiased-HITL,0.7181111111111111,0.020948455869599578,1.0323769256085276,0.221378154090635,0.10785857210597252,0.07736951424828467,0.04410239530263868,0.04424345567263296,30,0.00749630865879171,0.07921915503973963,0.027686325101775204,0.015832317280002235
FE-HITL,0.7181111111111111,0.020948455869599578,1.0323769256085276,0.221378154090635,0.10785857210597252,0.07736951424828467,0.04410239530263868,0.04424345567263296,30,0.00749630865879171,0.07921915503973963,0.027686325101775204,0.015832317280002235
LR,0.7444444444444444,0.020868743852643083,1.5276206167854587,0.32928389782321854,0.15290558960991582,0.09137147420272179,0.10532376353621345,0.060435116795822856,30,0.00746778407986139,0.11783272952518867,0.032696862121776964,0.02162642879989392
