endpoint,contrast,n_units,mean_diff,se_corrected,ci_low,ci_high,t_corrected,df,p_raw,t_naive,p_naive,units_with_negative_diff,variance_factor,p_bh,bh_family,bh_family_size
DI_gap,FE-HITL - DL,50,-0.3547972773966142,0.21947247750475932,-0.7958437334215825,0.08624917862835413,-1.6165912073823485,49,0.11238738762472121,-7.655984024561529,6.437404266059765e-10,34,1/50 + 300/700,0.88427884796553,"(B2) credit main generalization, corrected resampled t(49): 3 x 4",12
DI_gap,FE-HITL - Debiased-HITL,50,-0.26361183995895,0.30497843519831236,-0.8764889511919028,0.34926527127400286,-0.8643622287180281,49,0.3916007153179634,-4.093516891765743,0.00015834008716014383,32,1/50 + 300/700,0.88427884796553,"(B2) credit main generalization, corrected resampled t(49): 3 x 4",12
DI_gap,Debiased-HITL - DL,50,-0.0911854374376642,0.32481224192617697,-0.7439200755289411,0.5615492006536128,-0.2807327608618543,49,0.7800973441265125,-1.3295170247830437,0.18983415246750668,27,1/50 + 300/700,0.88427884796553,"(B2) credit main generalization, corrected resampled t(49): 3 x 4",12
Acc,FE-HITL - DL,50,-0.0021333333333333425,0.0066097982651950864,-0.015416220249489193,0.011149553582822507,-0.3227531685144974,49,0.7482554044167764,-1.5285206864540242,0.13281362709389335,18,1/50 + 300/700,0.88427884796553,"(B2) credit main generalization, corrected resampled t(49): 3 x 4",12
Acc,FE-HITL - Debiased-HITL,50,-0.0026000000000000025,0.005187701935996438,-0.013025077348185858,0.007825077348185851,-0.5011853094255698,49,0.6184849169451268,-2.373554121032383,0.021582766889308585,21,1/50 + 300/700,0.88427884796553,"(B2) credit main generalization, corrected resampled t(49): 3 x 4",12
Acc,Debiased-HITL - DL,50,0.00046666666666665967,0.003189627260394649,-0.005943129291494803,0.006876462624828122,0.14630758661402948,49,0.88427884796553,0.6928953594909874,0.4916463863192809,12,1/50 + 300/700,0.88427884796553,"(B2) credit main generalization, corrected resampled t(49): 3 x 4",12
EOD,FE-HITL - DL,50,-0.02717917544458946,0.05080278622373916,-0.12927119661698613,0.07491284572780721,-0.5349937959089566,49,0.5950738101459679,-2.533667099025461,0.014536308120011847,18,1/50 + 300/700,0.88427884796553,"(B2) credit main generalization, corrected resampled t(49): 3 x 4",12
EOD,FE-HITL - Debiased-HITL,50,-0.00979735534908595,0.04291307179459951,-0.09603440177666232,0.07643969107849043,-0.2283070155401674,49,0.8203576769457561,-1.0812349193097115,0.2848854458708922,17,1/50 + 300/700,0.88427884796553,"(B2) credit main generalization, corrected resampled t(49): 3 x 4",12
EOD,Debiased-HITL - DL,50,-0.017381820095503504,0.020536932687907437,-0.05865233147171231,0.023888691280705306,-0.8463688497035525,49,0.4014616030374461,-4.008302385059519,0.0002079155802561058,18,1/50 + 300/700,0.88427884796553,"(B2) credit main generalization, corrected resampled t(49): 3 x 4",12
AOD,FE-HITL - DL,50,-0.030199460752600493,0.030748931976576063,-0.09199175302089918,0.031592831515698194,-0.982130396451033,49,0.3308602494580952,-4.65125295184597,2.528940674463044e-05,30,1/50 + 300/700,0.88427884796553,"(B2) credit main generalization, corrected resampled t(49): 3 x 4",12
AOD,FE-HITL - Debiased-HITL,50,-0.016671473692695674,0.025113238644990963,-0.06713841619778656,0.033795468812395216,-0.663851999671135,49,0.509896712163213,-3.1439242530491875,0.0028300433933630205,25,1/50 + 300/700,0.88427884796553,"(B2) credit main generalization, corrected resampled t(49): 3 x 4",12
AOD,Debiased-HITL - DL,50,-0.013527987059904822,0.012748453453844283,-0.03914696343244502,0.012090989312635372,-1.0611473077015057,49,0.2938253873294137,-5.025467662059183,7.088581486044953e-06,27,1/50 + 300/700,0.88427884796553,"(B2) credit main generalization, corrected resampled t(49): 3 x 4",12
