interv_frac_of_unprivileged,DI_mean,ASSUMED_options_per_case,ASSUMED_seconds_per_option,review_minutes_per_batch,review_hours_per_batch
0.1,0.6613950331418866,1,3,2.2133333333333334,0.03688888888888889
0.1,0.6613950331418866,1,10,7.377777777777777,0.12296296296296295
0.1,0.6613950331418866,1,30,22.133333333333333,0.3688888888888889
0.1,0.6613950331418866,1,60,44.266666666666666,0.7377777777777778
0.1,0.6613950331418866,4,3,8.853333333333333,0.14755555555555555
0.1,0.6613950331418866,4,10,29.51111111111111,0.4918518518518518
0.1,0.6613950331418866,4,30,88.53333333333333,1.4755555555555555
0.1,0.6613950331418866,4,60,177.06666666666666,2.951111111111111
0.25,0.694463357539661,1,3,5.5616666666666665,0.09269444444444444
0.25,0.694463357539661,1,10,18.538888888888888,0.30898148148148147
0.25,0.694463357539661,1,30,55.61666666666667,0.9269444444444445
0.25,0.694463357539661,1,60,111.23333333333333,1.853888888888889
0.25,0.694463357539661,4,3,22.246666666666666,0.37077777777777776
0.25,0.694463357539661,4,10,74.15555555555555,1.2359259259259259
0.25,0.694463357539661,4,30,222.46666666666667,3.707777777777778
0.25,0.694463357539661,4,60,444.93333333333334,7.415555555555556
0.5,0.7501717855783787,1,3,11.15,0.18583333333333335
0.5,0.7501717855783787,1,10,37.166666666666664,0.6194444444444444
0.5,0.7501717855783787,1,30,111.5,1.8583333333333334
0.5,0.7501717855783787,1,60,223.0,3.716666666666667
0.5,0.7501717855783787,4,3,44.6,0.7433333333333334
0.5,0.7501717855783787,4,10,148.66666666666666,2.4777777777777774
0.5,0.7501717855783787,4,30,446.0,7.433333333333334
0.5,0.7501717855783787,4,60,892.0,14.866666666666667
1.0,0.8639705957840943,1,3,22.32333333333333,0.37205555555555553
1.0,0.8639705957840943,1,10,74.4111111111111,1.240185185185185
1.0,0.8639705957840943,1,30,223.23333333333332,3.7205555555555554
1.0,0.8639705957840943,1,60,446.46666666666664,7.441111111111111
1.0,0.8639705957840943,4,3,89.29333333333332,1.4882222222222221
1.0,0.8639705957840943,4,10,297.6444444444444,4.96074074074074
1.0,0.8639705957840943,4,30,892.9333333333333,14.882222222222222
1.0,0.8639705957840943,4,60,1785.8666666666666,29.764444444444443
