seed,base_DI_same_model,FE_HITL_final_DI,triggered,fallback_unchanged,final_outside_guard_0.75_1.333,final_outside_trigger_0.80_1.25,base_DI_is_zero
42,1.6888260254596887,0.9382366808109384,True,False,False,False,False
43,2.191489361702128,2.191489361702128,True,True,True,True,False
44,0.0,1.2241379310344829,True,False,False,False,True
45,0.0,0.0,True,True,True,True,True
46,1.28150622532645,0.9611296689948374,True,False,False,False,False
47,0.7843373493975903,1.0457831325301203,True,False,False,False,False
48,1.5644736842105262,1.025,True,False,False,False,False
49,1.2664071190211346,1.03615127919911,True,False,False,False,False
50,1.848698099929627,1.848698099929627,True,True,True,True,False
51,1.3741496598639455,1.0796890184645287,True,False,False,False,False
52,1.9553466509988249,0.9776733254994124,True,False,False,False,False
53,1.9071969696969695,1.003787878787879,True,False,False,False,False
54,1.7863247863247864,0.8931623931623932,True,False,False,False,False
55,1.1270516717325227,1.1270516717325227,False,False,False,False,False
56,1.418938307030129,0.9870875179340028,True,False,False,False,False
57,1.4360041623309054,1.1488033298647244,True,False,False,False,False
58,1.19693094629156,1.19693094629156,False,False,False,False,False
59,1.3885714285714286,1.0285714285714285,True,False,False,False,False
60,1.3314669652855542,1.0100783874580066,True,False,False,False,False
61,0.629737609329446,0.9970845481049564,True,False,False,False,False
62,2.07449494949495,2.07449494949495,True,True,True,True,False
63,1.59375,1.0625,True,False,False,False,False
64,2.098101265822785,1.010196905766526,True,False,False,False,False
65,1.3140495867768591,0.9198347107438016,True,False,False,False,False
66,0.0,0.0,True,True,True,True,True
67,1.1468178954001262,1.1468178954001262,False,False,False,False,False
68,1.0463917525773194,1.0463917525773194,False,False,False,False,False
69,1.141148325358852,1.141148325358852,False,False,False,False,False
70,2.1858529819694863,0.8196948682385575,True,False,False,False,False
71,1.6098334655035684,0.8049167327517842,True,False,False,False,False
72,1.7202295552367288,1.016499282639885,True,False,False,False,False
73,1.284584980237154,1.0276679841897234,True,False,False,False,False
74,0.9774436090225564,0.9774436090225564,False,False,False,False,False
75,1.8068181818181817,1.2045454545454546,True,False,False,False,False
76,1.1367521367521367,1.1367521367521367,False,False,False,False,False
77,1.1289459604066343,1.1289459604066343,False,False,False,False,False
78,1.5255102040816328,0.9285714285714286,True,False,False,False,False
79,1.1535048802129546,1.1535048802129546,False,False,False,False,False
80,1.384297520661157,1.0151515151515151,True,False,False,False,False
81,1.907834101382488,1.0069124423963134,True,False,False,False,False
82,0.0,0.7847938144329897,True,False,False,True,True
83,0.8139130434782609,0.8139130434782609,False,False,False,False,False
84,1.862191862191862,1.0552420552420552,True,False,False,False,False
85,1.1063829787234043,1.1063829787234043,False,False,False,False,False
86,1.3271317829457363,1.1059431524547805,True,False,False,False,False
87,1.4454545454545455,0.8833333333333333,True,False,False,False,False
88,1.809725158562368,1.1310782241014798,True,False,False,False,False
89,1.2825396825396824,1.053514739229025,True,False,False,False,False
90,1.9139194139194136,0.7655677655677656,True,False,False,True,False
91,1.5653495440729484,1.2522796352583587,True,False,False,True,False
