endpoint,contrast,mean_diff,A_conditional_t,A_df,A_p,B1_corrected_t,B1_df,B1_p,B1_ci_low,B1_ci_high
DI,FE-HITL - DL,0.21775092668226342,49.31612737806382,45,8.135058849867667e-41,7.873471015064947,4,0.0014065898284490125,0.14096478072675356,0.2945370726377734
DI,FE-HITL - Debiased-HITL,0.176428864811071,64.08557146373786,45,7.273957248393065e-46,8.542779699785685,4,0.0010305937402439614,0.1190886224854273,0.23376910713671484
R2,FE-HITL - DL,-0.025635378219514976,-6.584035307662756,45,4.227520291941334e-08,-2.749861475413564,4,0.051381744668470765,-0.05151858034218273,0.00024782390315272046
R2,FE-HITL - Debiased-HITL,-0.019135631828230602,-10.378946333984556,45,1.6010310181242781e-13,-3.6126195597437,4,0.022504166446517537,-0.03384214339019738,-0.004429120266263855
